date,rating,comment,Category,Sub-Level
"May 12, 2024",Rated 3 stars out of five stars,"very good app, the camera translate features are very good but can be a little flakey at times, especially if the networks a bit slower (travel much?) app also forgets its a translator sometimes and gives the same result in english as was entered in a forgien language, because its commonly spoken in its original (foreign) form in english, which means to translate some phrases, you have to just google it, which is not helpful.",Feature Requests,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,"I want to like this app, but with the handwriting feature not working properly, it's hard to. When you click the handwriting button, a ""Write Here"" box is supposed to display so you can transcribe characters or words, but it only comes up every now and then. My app is up to date and still can't overcome this problem. I even asked the google community with no help, so until that is fixed, I'll have to translate with something else.",Feature Requests,Features & UI
"May 12, 2024",Rated 3 stars out of five stars,Again. Update broke it. Update at the end of Feb 2024 made it where it doesn't delete the translation after it sends so I have to go back and erase every message after it translates. **Looks like that was actually an issue with Gboard or Google Keyboard and how it interacts with translate. Installed previous version of Gboard and issue isn't there.,Bugs,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"Saving conversations and translations does not work. I starred pieces of a conversation to reference later as step by step tutorial, and its been erased within an hour. Open up history and its empty. Why do I need to be logged into this at all if the features login enables do not work? Why is this tied in to an overall ""we want to save your data"" for a bunch of apps I don't want the data saved from? Useless. Take screenshots if you need to go back and reference something.",Feature Requests,Features & UI
"May 12, 2024",Rated 3 stars out of five stars,"Edit*: Apparently I had to manually update the languages. I was lucky to find out before I needed to use it, in a foreign country, without internet access. Except the issue with the manual update of the language, because if it's not latest version you can't use it offline, it's a very good translator app. Would have been weird, to find out the translator isn't working and having to pay the equivalent of a night in a hotel, just to translate: where is the National Museum. Wonders of modern apps",Bugs,Features & UI
"May 12, 2024",Rated 3 stars out of five stars,"From certain version it started to fail to translate. Tells ""there's no connection"", though the connection is in place. It just can't reach google server for whatever reason. Internet is full of descriptions of the issue since a while, but no solution from support other than ""check the internet"". It was a good app but not anymore.",Bugs,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,I am extremely disappointed in this app. It has been working fine for years.... and now all of a sudden it says there's no connection and it will not work. I have tried all the troubleshooting things available out there including the links noted below but the problem persists. Clearly there is an issue with the app and needs to be updated given all the negative reviews recently I hope you guys can fix this quickly because I rely on this app daily. PLEASE READ MY FULL REVIEW! ALREADY DID ALL THAT,Bugs,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"The ability to take a picture of translated text is gone, even though the UI tells me that's what the white button is for. I get options like ""share"", ""listen"" and ""select all"", but no option to just take a picture. This is inside the ""camera"" UI. I'm just taking screenshots at the moment which has all the UI on too. A really bad change.",Uncategorized,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"The new update completely ruined it. Before, the real time conversation worked excellent. Now, it hardly ever works, and it won't immediately speak the results. I have to push a button to get it to speak (if it will even pick it up), even though I've checked in my settings and I have it set to ""immediately speak results"". Please change it back!!",Usability,Features & UI
"May 12, 2024",Rated 4 stars out of five stars,"It lacks one important feature: I can't turn off the excess of languages that creates a big mess of a list. That's what is inconvenient, hence 4 stars only.",Feature Requests,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,"Bizzare how the text swap button works completely differently than on other apps, idk if thats bug or what but its really tiresome to write the translation again and again. Compared to deepP, reading translated books in both languages is so cumbersome that i really don't see any value in this app other than second window translator when i dont want to mess with translated text in deepl. Still more pleasant than microsoft app, i give u that.",Bugs,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"New version is terrible. Takes three taps to translate now instead of one. How is that an improvement.... Update Installed: 25/2/22 - still terrible. Clearly the developers care about user feedback.....not. 12/08/22 well done you made it even worse. Tap to translate doesn't work at all now. 29/04/24 - Now multiple ttt circles are on my screen. I have to reboot to reduce to 1, but they build up again in a few hours.",Usability,Features & UI
"May 12, 2024",Rated 5 stars out of five stars,"Useful at times, but constantly problematic. If your network is spotty, it won't work even if you've downloaded the language for offline use. You save the phrase once you find the right context, then when you visit again it completely changes the context of the word. Sometimes it even gives you completely wrong translations. Incredibly inconsistent.",Usability,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,Doesn't work offline. The Greek language pack doesn't work offline. I've installed and reinstalled on 2 different android phones. Download deleted and re-download the Greek language pack and the app suggests downloading the language when there is a connection. Google response is generally to post the issue in the apps help section. This issue is posted there with 100 other users saying same question but not answers from Google or solutions. THERE IS NO OFFLINE OPTION IN THE MUNU,Bugs,Features & UI
"May 12, 2024",Rated 4 stars out of five stars,"It needs to improve itself by adding some of features that remind you your vocabulary it would be great. Sentence examples even some videos that vocabulary used in, except with this, it's useful, practical, well designed. If you are an English learner you can use it with wordup.",Feature Requests,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,"This app doesn't translate images offline. I've downloaded the languages I need, deleted them, downloaded them again, and even reinstalled the app. I had this same issue a year ago, and I'm having it again now. What's the good of downloading a language if you need an internet connection?",Bugs,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,"May you guys fix the issues that had happened for me for a month right now. One day, when I took a photo to translate a text, it showed that I had to ""LOG IN"" to translate because it said that I'M ""NOT LOGGED IN,"" but I was already logged in. When I clicked on ""SIGN IN,"" it just kept loading for an hour. I thought after a week, the problem might be fixed. Until now, I still can't translate text in the camera. I STILL LIKE GOOGLE TRANSLATE SINCE IT DOES HELP A LOT IN MY LIFE.",Bugs,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"Not working, always info to check connection, despite connection is good. I downloaded offline languages and still same. Problem started on Saturday, Sunday, 13-14 April, earlier was good. The link provided didn't help, I already uninstall and install the app and still the same.",Request Info,Features & UI
"May 12, 2024",Rated 3 stars out of five stars,"Useful to translate things but the picture-translate is annoying, constantly covering up translations with ""is this helpful"" which is very unhelpful since I can't see what I'm trying to translate. In short, good software, terrible UI, declutter it and stop asking for feedback in the middle of me doing something thanks.",Usability,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,"Not sure what happened to offline translations. It still let's you download ""offline translation files,"" but the app now just totally blocks you from writing anything if there's no internet. Guess it kinda goes with the theme of Google apps losing features & generally going down the toilet the last few years.",Feature Requests,Features & UI
"May 12, 2024",Rated 3 stars out of five stars,Why do I have to go on a quest to find my tap to translate feature? It's not even in the settings. Thanks for responding but it is not located in the app. I fixed it after going into my settings in Google. Not the app. It disabled on it's own when I swiped to remove a notification on my home screen. Now that I can find it I am satisfied.,Feature Requests,Features & UI
"May 12, 2024",Rated 4 stars out of five stars,"Works ok, however there appears to be a bug with formatting, in particular if you wish to format some text on a forum to bold the formatting gets lost after the translation has executed and goes back to the original text plain format. I've tested this on android 9.0.0 by undoing the translation and I noticed that the formatting returns by doing so. Hopefully this can be fixed? Chrome App with Google Translate.",Bugs,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,What the happened to this app?? I don't like this. They are not listening to me when I say something. They just write something else. I used the mic option to translate long sentence.But what they showed was not actually I said. It made me disappointed. I'm kindly requesting to add an AI feature for suggesting better sentences or lines than we write,Feature Requests,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,"The new update is terrible. I can't find anything because it's hidden to give the UI that ""simple"" look. I don't care about the ""simple"" look, I want convenience and this new update just made it extremely difficult to quickly pull up my translation history. It's hard to use this app when you're in a hurry.",Usability,Features & UI
"May 12, 2024",Rated 5 stars out of five stars,"Discover the wonders of communication with Google Translate. With its advanced tech & extensive language support, I effortlessly breaks down language barriers, allowing me to connect with other people around the globe. Whether for travel, study, simply exploring cultures, this is my ultimate guide. Goodbye to misunderstanding and hello to world of endless possibilities. And... I got a problem: Japanese voice isn't VERY SMOOTH. Please fix it; I want the original! Not a robot with sore throat!",Uncategorized,Features & UI
"May 12, 2024",Rated 5 stars out of five stars,"Love this app. I especially love the detect language on a photo feature. I play an international game with no automatic translate on text and I use this app to communicate with others. It's not always 100%, but I can understand from context, like any other form of translation. Good job and keep it up.",Feature Requests,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"How can you make a product worse with an update? Seems like Google yet again comes up with an answer. If it's possible, please revert the function where one could save the characters from orginal language without having to translate it. For a lot of us this was a very useful feature.",Feature Requests,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"Uninstalled this app. Before the update, it is working fine and even offline. Now, it is not working offline and incorrect translation. What a bummer! UPDATE: Yes Google I did my feedback with screenshots. I tried to install it agai, same issue. So I ain't wasting time again",Bugs,Features & UI
"May 12, 2024",Rated 3 stars out of five stars,"This is a good app, but just to translate texts, which is kind of pointless honestly because there's that feature in Google already, the option to translate pictures, GONE. The only and ONLY reason giving it a 3 star is, It can translate long texts.",Feature Requests,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"Hey Google translate You don't know this but I can tell you that when you see this translate text on a black screen like this, naturally a human will not be able to understand anything accurately and it will be a big problem for your customers to understand things quickly and it will be a good experience if you get it right , I mean seeing blues like this on a black screen can be eye straining and it would be great to change that . Hope this gets fixed thank you",Uncategorized,Features & UI
"May 12, 2024",Rated 4 stars out of five stars,"Great overall, but a feature I'm missing is the ability to pin a language at the top of the list. It's very tedious to scroll/search every time if you use more languages than there are ""recent"" slots. I really like the translate from photo feature, it makes it much easier to look things up quickly while e.g. grocery shopping. The translations themselves are good as well.",Feature Requests,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,"App is pretty decent, but I can't get rid of that dumb and annoying ""translated text"" window that asks for feedback that never goes away. You slide it down to close, it opens right back up; such a dumb design. If I close that window it should stay closed. That window is gigantic and it takes up nearly half of my phone screen in landscape mode. This is so annoying and stupid and it's a terrible UI experience.",Feature Requests,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"Peace be upon you.. The latest update is very bad and its translation is inaccurate. I hope you add more terminology and make it much better offline. My problem is when I downloaded Arabic and translated a term from English to Arabic, it did not give me a correct translation.",Feature Requests,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"There is still an issue with the original text display disappearing. Even after the latest update, I talked about it in detail in Google Help and did not receive any response. Brother, when will you correct this error? I really need to fix it.",Bugs,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"This app worked well. But recently it has been auto updating with new features that actually make it have worse functionality. I use the conversation functions often. sometimes a device misshears what you say, So I edit the words before showing a translation. The new features prevent such editing. If I press the English text I can not edit, but now it reads aloud the text. In the last two days I've had to uninstall 4x If there was a way to refuse new features or switch them off then no problem",Feature Requests,Features & UI
"May 12, 2024",Rated 4 stars out of five stars,"It's an amazing app that has helped me tremendously, but there's one visual issue that bugs me to no end. I translate into multiple languages and when in dark mode the language select buttons display in black text. Black text on a dark gray background. I cannot figure out how to change this (if I even can). Does anyone know if there is a way to fix this without being forced to use light mode and burning my corneas? Please 🙏🏻",Bugs,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"The new update sucks. Especially for Japanese translation. I used to be able to use it offline, though in very low accuracy, now I can even use it. The Google lens, sends to translate feature become worse. Also the romaji style, I used to be able to read what I typed in the board now I had to come out of typing to be able to read the romanized kanji.",Feature Requests,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"The app has went from good as usable to not working 90% of the time since the update from a year ago. I use to love this app. Now it's unusable to translate from English to Vietnamese. It gives the wrong translation and misses the message of the translation. Family and friends who are Vietnamese are now finding some one who speaks both languages to translate. Many different phones, Samsung, Nokia, apple are having the same issue because I use all 3 different phones",Bugs,Features & UI
"May 12, 2024",Rated 5 stars out of five stars,"The best ever for sure. I had a problem with deutsch speak output, not working.ot was working When i downloaded it, but it stopped suddenly. I undated the app but not fixed. Thank you",Uncategorized,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,"Bug fixes and improvements. I guess if you analyze the app everyday on the level the devs do, you see it differently. The rest of us just see it for face value. The ease of use. I think it's terribly inconvenient to what it was a few years ago. Unfortunately, all the other apps I've tried are even worse. Keep up the bad work. You're still not as bad as your competitors. I miss the days when you could copy some text in another language, and the translate bubble would pop up. It was so easy.",Bugs,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"New random update is terrible, now you have to select individual photos to allow Google translate to be able to view. You are not allowed to give it permission to view all your photos. Also selecting a photo from your photo gallery cannot just count as giving it permission. They added a useless feature that adds more clicks and takes up too much time, for no reason apparently.",Feature Requests,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,"2024-02-16 Update: Same problem remains when offline .. often in Colombia..becomes completely useless with ""Offline"" message and all greyed out Never translates when offline, even if you've downloaded and installed the language. This has let me down several times while in airplane mode and unable to understand a country's entrance form. Lately, it freezes for several seconds and then displays a can't translate error. This used to work much better ...looking for a replacement app",Bugs,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"When i first use it,experience was very good. But nowadays it is very slow and incorrect translates. I think previous version was more better than now. When i translation in google chrome it can't show all features. Finally it is very bad now.",Feature Requests,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,The app doesn't work when I'm out in public it won't connect to my cell service to translate and at home connected to wifi it does not hear anything the only way is to type it in to get a translation when at home. The message with the link is meaningless the solutions have nothing to do with my issue that from looking at other people posting are having the same issue can't connect and they are getting the same BS from Google.,Bugs,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,It's been a while I got an issue with Google translate which says can't translate check your network connection while I have good network it wasn't like that but suddenly it happened so I deleted and installed again still not working and shows the same problem.,Bugs,Features & UI
"May 12, 2024",Rated 5 stars out of five stars,"I use it everyday in Korea. It works great with all it's features. I feel the image reading translation could be more accessible as it used to be, but it is a very useful app.",Feature Requests,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"Bad UX all over that did not improve over the years. Ridiculous system requirements for an app that does most of its processing remotely. The latest version will not allow camera translation if your phone has Google GO. One star not because it is unusable, but because nowadays there are so many competing apps that are just better. Take notes.",Usability,Features & UI
"May 12, 2024",Rated 3 stars out of five stars,"Works well, but the latest update (Feb 2023) totally ruined the interface. It used to be easy to have a conversation, but now I can't type to edit a mistake in the transcription, so the other person has to wait while I try to figure out how to get back into conversation mode. UI is crucial for an app like this, but they just had to make changes and fix what wasn't broken...",Request Info,Features & UI
"May 12, 2024",Rated 3 stars out of five stars,"When it works it is great. However the offline functionality leaves much to be desired. Keep having endless issues with downloading languages offline, especially German.",Bugs,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"Don't change the UI when it doesn't break. Now it's so buggy, heavy, RAM consuming, and every single feature doesn't seem to work properly.",Bugs,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,UPDATE: I HAVE FOLLOWED ALL INSTRUCTIONS AND TRANSLATE IS NOT WORKING. THE LINK POSTED IN EACH REVIEW CANNOT BE ACCESSED. POST A LIVE LINK FOR GODS SAKE!! I AM GETTING A NO NETWORK MESSAGE. I USE TRANSLATE IN FB MESSENGER AND IN THE APP ITSELF. I AM DEPENDENT UPON THE APP AND AM RATHER FRUSTRATED. HELP!! Is anyone else having issues???? I un and reinstalled. Not working!!,Bugs,Features & UI
"May 12, 2024",Rated 4 stars out of five stars,"I would rather give this app 4.5 stars, but the option is not made available to me. It would be 5 stars if it could allow one to distinguish between formal and casual tense for Latin languages, and could account for certain dialects and idioms. I tried translating something and you changed the word for refrigerator three times. If I hadn't looked it up, I wouldn't have known that they were three different regional or dialectical words meaning the same thing. That is not helpful.",Uncategorized,Features & UI
"May 12, 2024",Rated 5 stars out of five stars,"Very handy for translation of fan fiction. Although unsure if it is an accurate translation, nonetheless it's a very smooth app, quick and easy on ram. Ish likes it a lot!!",Usability,Features & UI
"May 12, 2024",Rated 3 stars out of five stars,"The translation takes forever. And the funny thing is, it's faster to use Google search to translate rather than wait this app to translate a single word. Always had a problem with connection on this app, even though there aren't any problem when I did the same thing on website.",Resources,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,"To function ""tap to translate"" When will the screen content translation feature be added? We need a button to take a screenshot of the screen and translate it. Many third-party translators have this, but yours does not.",Feature Requests,Features & UI
"May 12, 2024",Rated 5 stars out of five stars,"Perfect for having conversations and making friends with people who I once would have never even met online. But the only 2 problems are 1)the lack of a chat app function and 2)because of this, any conversation in an app with end to end encryption requires the support of an app such as Google Lens along with screenshots of the conversation.",Usability,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,The UI when using the camera to translate is terrible. It's annoying and interferes with the thing you want to see translated!!!!,Uncategorized,Features & UI
"May 12, 2024",Rated 4 stars out of five stars,"Hi, I like the new UI, fits well with android 13 style, one minor complaint, in the old versions there was a language selector when a translation is shown, I could just select a different language without starting a new translation. This is an inconvinience if I need to translate to multiple languages I now need more clicks. On the pc version the language selector is shown at top, all the time,just like older mobile versions. Add this back if possible, thanks. Other than that, great app.",Feature Requests,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,"For the Dev: There is a bug in the Lens part of the app, where if I load a photo with Japanese text, and manually select the language as Japanese (not leave it on auto detect), if I try to use the ""listen"" function on individual words in the picture that contain only Kanji, the app will pronounce them in Chinese rather than Japanese. If I select more text around than included some hiragana or katakana, app will then correctly read everything including that word in Japanese. Good app otherwise.",Bugs,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"I prefer the old version, this new upgrade is a disaster. I used to be able to translate o issues I can't even translate on Facebook now, or if I need to translate questions. Why on the translator is the camera not responding please. Thank you, I have uninstalled and added app again does not work on my moto phone. I have deleted it and restalled also, cleared all data etc nothing. It just keeps saying no Internet connection, but on my other phone it works both phones the same.",Bugs,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,"Offline translation not working despite I've downloaded all necessary language packs. P/S: thanks for developers' reply. I've tried following: - turn phone into Airplane Mode - re-downloaded the language pack - reinstall Google Translate app - ensure the right language been selected But still, the issue persist. Suffered same the issue on the other 2 phones (Huawei & Samsung) as well.",Bugs,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,"The disadvantage of this app is: if I take a picture of the the word which is need to be translated,it shows some other meaning instead of the correct meaning I request google LLC to fix this bug..",Bugs,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"This app is terrible. I've tried it for 8 months, and Google Translate doesn't work offline during 8 months!!!! I did all as asked by support, but it doesn't solve the problem! I've deleted and downloaded languages, turn fly mode on... but I see: ""Can't translate. Check your connection and try again""",Uncategorized,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"The app is not working. I keep getting a message saying, "" Cannot translate, check your connection and try again"". I have a Samsung s23, I tried deleting the cash and data, reinstalled the app, granted all permission, tried on wifi and mobile data and even offline. Nothing worked. Can anybody help resolve this issue.",Bugs,Features & UI
"May 12, 2024",Rated 4 stars out of five stars,"While Google Translate is indeed a great app for translation needs, introducing a feature to change the voice from female to male and providing options to download voices would enhance its usability. These additions could improve user experience and make the app even more versatile for different preferences and requirements.",Feature Requests,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,"So I'm in the NAVY and travel all over the world. This app has helped me many times, and I would have given it a perfect score, BUT the problem is that I can't use it to communicate with my mother inlaw. My mother inlaw is from Hong Kong and only speaks Cantonese, and unfortunately, google Translate doesn't support that language. So i have to use another translator app. Since family is the MOST important thing to me, I have to give it a low rating, or else I would have scored it perfec 5 stars.",Usability,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,"I have been using this app for almost the last 6-7 months, but for the past month, it has not been working properly. Sometimes it shows translations, but most of the time, I encounter errors or nothing happens What's the problem how may I sort it out?",Bugs,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"No way to change 'Voice', only one fixed voice. It's a long requested features for years but Google is not paying attention! The fixed female voice is not clear in many situations and causes misunderstandings.",Feature Requests,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"Most of the time the notification is Can't translate. Check your internet connection and try again. Added after answer: I tried restarting the app and phone several time, before your suggestion. I tried resintalling the app too. The issue is present for more than a year.",Bugs,Features & UI
"May 12, 2024",Rated 3 stars out of five stars,"The idea is of course fantastic, but I'm slightly confused (this maybe me), but if you're in a foreign country and need to translate something you are quite likely not to have access to the internet. I'm assuming you can't use it without internet? I couldn't. Maybe it might be possible to have language packs you could download prior to travelling?",Feature Requests,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"You have finally done it for me A words count Limit is the worst thing ever. The newish interface is pretty bad it was very good for years before with small tweaks it could have been perfect but no, you had to go and make the worst interface with even worse camera than before using another bad feature no body asks for ""Lens"" it made the experience couple of times even worse.",Feature Requests,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"As a review of this translation app, I have to state just how close this application has come to ruining my relationship with my foreign girlfriend because of completely different contexts to what i originally typed. It's hilarious.",Usability,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,Offline translation doesn't work anymore (since quite a long time actually). Language packs are downloaded but it keeps telling me that I don't have an internet connection.,Uncategorized,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,Please just fix this app. It's essential for me to get accurate information VERBALLY from people who don't speak English. None of the voice features work after the last update. I tried everything in the comments below. I own a Pixel go figure.,Feature Requests,Features & UI
"May 12, 2024",Rated 2 stars out of five stars,"REQUIRES INTERNET. Works decently when it can. But don't ever rely on the downloaded languages, downloading languages for ""offline"" is pointless since it still requires the internet to run the app. You still 100% need internet to even use the app. Ultimately useless as a discrete app, especially since it still forces the use of other apps and features (particularly the invasive google lens) despite barely doing anything itself.",Feature Requests,Features & UI
"May 12, 2024",Rated 4 stars out of five stars,"You guys could definitely do better on the phrases and words and make sure they're spelled correctly before you think your app is just the best thing that's ever happened on Google Play Store. . . . I hope this will help guide you in the right direction with your app and best wishes,, regards,, Sarah Elizabeth Alshimary. 🤷‍♀️🤦‍♀️🤷‍♀️🤦‍♀️.💕💕💕💕.",Feature Requests,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"As a person who doesn't know English very well & everything is in English nowadays, Google translate is a blessing but I personally feel it, Google translate is not useful anymore. Bugs not limited to app. If you go to any website & translate via option (using Opera & chrome), it doesn't translate whole page but partially until you don't start scrolling, it then translates as you scroll. Major bug facing since last year. No dark theme on web or app. Icon not matching Google multicolour pattern.",Bugs,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,The update sucks. If something isnt broken leave it alone. In my opinion you took a perfectly good app and ruined it. Any chance of getting an older version that worked fine and was simple to use and didnt need tweaking?,Feature Requests,Features & UI
"May 12, 2024",Rated 4 stars out of five stars,"This app is GREAT, and it support my language ""Hmong,"" but there are two problems with the Hmong translations: 1) the Hmong translations isn't always accurate (not enough Hmong vocab data in Google's engine, which I understand), 2) Google Translate doesn't support Hmong TTS, which makes things harder for both non-Hmong and Hmong to learn, understand and even use this app. I REALLY hope that Google can provide Hmong TTS in the near future. PRETTY PLEASE GOOGLE.",Usability,Features & UI
"May 12, 2024",Rated 5 stars out of five stars,"Here is an update to my previous of having challenges with live translation, now if you open your app and go to camera it will actually translate in real time. Thank you for your quick response and help.",Compatibility & Update,Features & UI
"May 12, 2024",Rated 4 stars out of five stars,"It's is quite a good app can be a little hit and miss but it's not far off just have to pice it together your self, gets you most of the way there.",Uncategorized,Features & UI
"May 12, 2024",Rated 4 stars out of five stars,"Pretty good translator, sometimes a little formal, but generally I'm understood. I'm told that the formal translation can be a little harsh to native speakers, meaning less colloquial",Uncategorized,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,Still translation problems ESPECIALLY SWEAR WORDS. IT IS DANGEROUS NOT TO TRANSLATE IF SOMEONE IS SWEARING. I had an aggressive person I thought he was just frustrated as he didn't speak English but I soon realised he was being aggressive and threatening me. IF TRANSLATE WORKED PROPERLY I COULD HAVE LEFT EARLIER. Instead of trying to help him. DONT BUY S24 IF YOU WANT IT TO TRANSLATE CONVERSATION.,Uncategorized,Features & UI
"May 12, 2024",Rated 3 stars out of five stars,This app needs an overlay function so you can translate things on your screen inside your UI such as overlays that appear outside of browsing window.,Feature Requests,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"This app's update just ruined everything I can't translate and it keeps saying that I should check my connection and network, whereas my network is perfectly fine, I hate this, please look into it as soon as possible I really need it",Feature Requests,Features & UI
"May 12, 2024",Rated 1 stars out of five stars,"App does not work after 2 days, needed to uninstalled and reinstalled. Same issues happened! Guys, you better fix it, you can do better than this.",Bugs,Features & UI
