Date,Rating,Review
2024/3/22,Rated 3 stars out of five stars,"Fine app. I use it a lot. One thing they to change. Please add a scroll feature! So many liked tiktoks I'm never gonna see again because there all the way at the bottom of the liked page. Or if that doesn't work, make it that you can search tiktoks or search a specific date that when you liked it.I don't know if you could make it work but if you can please add it!"
2024/3/22,Rated 1 stars out of five stars,"I've never had problems with this app before. Last week it stopped working. I have tried everything. Uninstalling it, restarting my phone, logging in and out, cleared the cache... Nothing works. It's just a black screen when I open it and says I'm not connected to a network even though I have data and wifi and all my other apps work.. I can see a few videos on my for you page but can't login to my account and it won't load more videos.. I'm pretty frustrated."
2024/3/22,Rated 1 stars out of five stars,"Used to be a good app, but then the updates screwed it over. They got rid of their dark mode for Android, making it difficult for people with visual issues to see the screen from the HARSH white mode, they messed the comments up, and the pre-post to posted editing ratio is all messed up. Ex: I edit and upload a video thinking all of my text is in the frame when it isn't and half of it isn't legible from it being blurred or cut out. Used to be good, got worse."
2024/3/22,Rated 1 stars out of five stars,"The TikTok experience has become increasingly frustrating. I deleted and reinstalled the app hoping to fix the editing issue, only to encounter more problems â?no 2x feature, still unable to edit, and reposting is no longer possible. It's disappointing for both viewers and creators. Please address these issues. I can't believe I risked all my drafts for a complete downgrade. ð"
2024/3/22,Rated 3 stars out of five stars,"TikTok has many amazing creators but quite the horendous format in which they are displayed. I deleted the app many months ago for the same reason I am writing this review today. TikTok will not let you mute videos unless you pause them. There is a setting that has videos muted upon first opening the app, but you can't play any other audio on your phone. Once you unmute the videos, you can't undo the action. Please add a mute button. It is the bare minimum, and please, let us play our own music."
2024/3/22,Rated 1 stars out of five stars,"There's definitely been some issues with the app freezing my phone screen. Just did a restart and now I can't see any of my notifications within the app. I tried to report this to the help desk, after I tried all the recommended ways to fix the issue (which didn't work) and all I get is the ""something went wrong try again"". So, I get notifications but can't actually view comments, likes, etc."
2024/3/22,Rated 2 stars out of five stars,"I don't know what's going on but the app is messed up today. It was fine until a few hours ago and now it either won't load a draft, or when I try to post it, it kicks me back to the drafts screen. It's showing me old notifications. I force quit the app, it asked me in app to quit it so I did. I had to log back in, same issue even after restarting my phone. I'm don't want to try uninstalling and reinstalling because I'll lose drafts. Fix plsss"
2024/3/22,Rated 1 stars out of five stars,"The newest update feels so unnecessary. The interface feels clunky and whenever I'm trying to repost something it instead shows me a big list of my friends that covers up half of my screen. No one asked for that, the previous interface was great already! Same with the video sliding up when going inti the comments. It's not as annoying but I think most people dislike it based in what I've seen people in the app itself say. Overall, the newest update feels very unnecessary."
2024/3/22,Rated 1 stars out of five stars,"Now app completely loads different pages wonky, like weird sliding effect. What is that supposed to do, other than be infuriatingly excessive! Still has a lot of flaws. App can be highly unstable at times; freezing, lost connection when there is plenty of service, no Dark Mode for Android when there is supposed to be, etc."
2024/3/22,Rated 3 stars out of five stars,"So I love TikTok it's a great app but recently there was an update and now the screen spins when I push tabs in the tiktok shop?! Uhm absolutely not the screen shifts when I click into my profile as well as individual chats. Edit: So turns out tiktok added ""transitions"" to the tiktok actions and there is no way to turn it off it's absolutely horrible it hurts my eyes."
2024/3/22,Rated 1 stars out of five stars,"This app has a lot of flaws, so please listen up. Everytime I press the dislike button on a video that I don't like or I'm not interested in, those videos still pop up. And when I press the dislike button on an ad that's useless to me or something I don't like, it doesn't work. And Tiktokers are constantly uploading offensive videos and videos that aren't supposed to be on this app, I report every single time and those videos still show up. I'm not sure if it's a bug or not, but please fix it."
2024/3/22,Rated 1 stars out of five stars,"Lately it's impossible to upload videos. It constantly crashes, freezes, I've lost my drafts and now it literally can't load ANY video I have ""Sorry, something went wrong"" literally all the time. Also the ""not interested"" feature is hidden? And the app keeps on showing me stuff I couldn't care less about or that goes against my beliefs and interests"
2024/3/22,Rated 1 stars out of five stars,"I've been getting so many spammers as well as spyware. That has come from this app. I. Also, I don't understand why this app does not function correctly for me. I have the latest updated version, space, ect, but for whatever reason, it does not post my videos if they're over 3 minutes, and it also does not save to my drafts. So, all the effort I put into editing my videos. TikTok just throws my effort down the drain. If it does not improve these issues I will be deleting my account"
2024/3/22,Rated 1 stars out of five stars,8 months ago my TikTok started loosing major features... the ability to edit.. use filters... use sounds... etc. Several friends have had similar experiences. No matter how many times we have written & requested help from TikTok...none of us have heard back. We have all tried to erase & redownload many times. Some friends have left the app now & I have barely any basic features left. I suspect that TikTok is made for iPhones and anyone with a less common phone gets issue after issue.
2024/3/22,Rated 1 stars out of five stars,"Don't know what's going on, but I can not see the comment section. All I get is black screen, and I can only see half videos. Some videos are cut in half (screen not length), and finally I'm seeing the same videos over and over again. This started happening after an update. It worked perfectly before. SAMSUNG GALAXY FOLD 4"
2024/3/22,Rated 1 stars out of five stars,"It is annoying, I'd open the app and they'd just show the black screen, and for the next 5 minutes, it's still loading, I can't use it to do ANYTHING.. It's just taking up space. I updated it, hoping that would change something, it didnt, I'm updating it again. Nothing changes? I'm done I officially hate this app, just used over 100mb updating it for nothing to change... Uninstalled"
2024/3/22,Rated 2 stars out of five stars,"Tiktok is great, but I don't have many updates that other friends have in this app.....I tried everything, and I had an excellent connection, and I tried updating the app but still didn't get the swipe photo thing in the camera, it didn't get the messages update which you can send messages to a friend on tiktok. I want these features in my tiktok account, so I want a solution to my complaint."
2024/3/22,Rated 3 stars out of five stars,"Way to many ads and can you for the love of god add a mute button. Update: thank you for allowing the app to be opened muted but i would still like to see a mute button. Also please send ""live"" video feeds to their own tab. I hate having ""live"" feeds pop up on my FYP. Now i see more ads then before. Please make it so you can opt put from ads."
2024/3/22,Rated 4 stars out of five stars,"great app honestly, it's really fun to watch and make videos. I do have an issue though - in videos where there's CLEARLY an effect being used it doesn't display the little button that has the effect name on it if yk what I mean, then when I try to search for the effect it isn't there. if this is because of the device I have then it's stupid as hell because I have a brand new samsung phone. please fix this issue and also make dark mode available to samsung users ð"
2024/3/22,Rated 1 stars out of five stars,"Created an account a few days ago, and haven't been able to use the app whatsoever. App crashes constantly, freezes when trying to scroll. I cannot follow, like, or comment on videos at all. Every account I follow immediately unfollows after refreshing the page, and all my likes immediately unlike once I scroll. What's the point of joining if you won't let me use the app whatsoever?"
2024/3/22,Rated 1 stars out of five stars,"When I close the app to do other things the app will pop up and reopen itself randomly. Getting spammed with fake ""you are selected as winner"" accounts. At first all my reports came back as not against their tos but now they're just ignored. Also they direct you towards an unhelpful FAQ and at the bottom it says ""is your problem resolved"" and the no button literally doesn't work. It's not a button. Only yes is a button."
2024/3/22,Rated 1 stars out of five stars,"There are so many flaws to this app's system and formatting. The only thing that makes it good is the community of people creating content. To name a few issues that I notice the most: the search engine is inaccurate, I can never find videos again unless I like them, the unwatched button doesn't work, and the app reposts videos randomly on my account."
2024/3/22,Rated 1 stars out of five stars,"Useless after the update. I cannot log in via username. You put in the password, complete the authentication, and then it just makes you put the password in again. Top of that, my videos are disappearing? I post them and they're completely gone within less than 10 seconds. They're not getting flagged for community violations to my knowledge, they're just getting pulled. I even tried reposting a video that is currently on my page, and the same thing happens. Bricked."
2024/3/22,Rated 1 stars out of five stars,DO NOT DOWNLOAD THE NEWEST UPDATE! Used to love the app until The new update made the transition screen spin... genuinely considering closing my account because of it. And having photosensitivity turned on does NOT change it. They give the option to avoid videos with flashing lights but put it a potential trigger that can't be removed. I would give no stars if I could. Very disappointed
2024/3/22,Rated 3 stars out of five stars,"Was working fine until the recent update. I've been having problems with commenting. When I try to post a comment it will randomly only post part of the comment, or if you hit the wrong person to reply to, your comment bar freezes up at the bottom of the screen and won't let you close it. Have to close and restart the app, and even after doing that, it still does it every time I want to comment on something."
2024/3/22,Rated 1 stars out of five stars,"IDENTITY FRAUD!!!! This app has poor features your identity can be duplicated or stolen. App has several defects. Causing delays, but it's OK for connecting with people. My issue now is the latest update has huge delays I can't login"
2024/3/22,Rated 1 stars out of five stars,"I use this app often and there's these weird animations when you click on notifications/dms/etc. One is like a very quick PowerPoint transition like one tab flipping in front of another, and another is a pulsating animation that lasts about 3 or 4 seconds. It's very distracting and makes me motion sick, idk if this is a new update or something but I can't find a way to turn it off in settings+I'm considering uninstalling because of this."
2024/3/22,Rated 1 stars out of five stars,"App will not open. There is no cache saved to clear. I have uninstalled and reinstalled several times, restarted my phone etc. The app will not open. It just freezes at the title screen. Opening it from Google play store will not work. My phone does not need an update. Please fix this app. Platform: Android/Huawei p30. Edit: March 2024, problem has not been fixed. Tik Tok, have you got anything to say?"
2024/3/22,Rated 1 stars out of five stars,It's like every time there's a new update they add something random for the commercials. Such as of course phone promos and now it's to download movie or series app. The worst part about these movie apps they are very disturbing. Having to do with SA or SEXUAL CONTACT. THAT'S ONE WAY TO KEEP ME OFF OF THIS APP. I wish there was a way to turn off commercials but unfortunately there isn't. Tiktok has been able to make me feel uncomfortable ONCE AGAIN. Thumbs down if I could write a zero I would.
2024/3/22,Rated 1 stars out of five stars,"Seriously fix your app I have non stop issues between my whole screen doing cartwheels and flips, I'm not even kidding or exaggerating I wish I was, to my cover photo/clip never uploading and saving, every video I have posted in the last two months won't post with my chosen and saved cover, the app changes it to the default cover. Either make it fixable and possibly to change after it's been uploaded or fix your app. It makes my page look terrible and makes me not want to post on your app."
2024/3/22,Rated 1 stars out of five stars,"So I watched a video on my feed on someone's page you end it with an ad and then you play an ad the next video and then three videos later there's another ad and then there's another ad and then you play another video on an ad what the hell! I can never report a problem to your company it's always Network issues, try again later. Why can I no longer set my videos to be viewed a certain way instead of having to do it for every single video?"
2024/3/22,Rated 2 stars out of five stars,"keeps logging me out of every single account i make. update: tiktok has been playing up this morning, it has not been letting me in the app itself and when i go into my recent apps it is not even there. PLEASE FIX!!! edit- this stuff still happens! but now it's also crashing when i open the app! fix!! edit- i uninstalled it and got it back, now it's saying all my reposts are gone (i had probably ovee 300) and my repost button is also gone??!"
2024/3/22,Rated 3 stars out of five stars,I would given it more but with the live stream feature is a bit questionable as it started kicking me off due to inactivity even though there's always something happening. Something needs to be fix quick as this is beyond annoying me and creators alike. Sort it out!
2024/3/22,Rated 4 stars out of five stars,Very good and accessible app I love the features and it's pretty easy to edit with ..the only problem am having is that after updating the app I can't follow other tiktokers of I follow them it doesn't reflect on my following list and it won't reflect on their page that I have followed them I hope tiktok fix this soon enough Thanks
2024/3/22,Rated 3 stars out of five stars,"Honestly I like watching tiktok and the videos are so cool, but there are tons of complaints. First of all I can't fund my REPOST BUTTON. This is very annoying ð also I can't even send messages on tiktok even though u did nothing, I can't even find the msg button also. Plz I'm to check this out... I'm very upset at this point.. like what's the use of using tiktok ð. One more thing I don't have the button to like... select emojis... there are only 5 emojis I'm using.. tysm"
2024/3/22,Rated 4 stars out of five stars,May we please have a feature that allows us to block content by sound. PLEASE! And I mean block sound not report sound. I may not like the sound but there are those who like it. I just want it to stop appearing on my wall only. Not to remove the sound entirely.
2024/3/22,Rated 1 stars out of five stars,"I have a samsung galaxy a15 and my phone has a dark mode, I thought I could use that to get dark mode, I cannot, and the ""display "" option isn't there in my settings on the app. The brightness of this app has literally caused it to BURN into people's screens, and I do not want that. Also, I have extremely sensitive eyes and being blinded anytime I open the app is not fun in any way. PLEASE fix this in the next update, it's literally damaging to the eyes. Also, stop unliking videos FOR me."
2024/3/22,Rated 1 stars out of five stars,"Galaxy Fold problem me and my husband have a galaxy. Fold4, and both of them are having problems with TikTok. The screen will load half of the screen and the other side be black. Also, the comments are always off , With this new update, please fix this now. I know our phones are new so it has nothing to do it ."
2024/3/22,Rated 1 stars out of five stars,Ever since I've gotten a new phone the favorites button is gone. I've tried trouble shooting all the tips from googling this issue. Nothing has fixed it. It's astonishing that this garbage app has had this issue for years and they haven't fixed it still.
2024/3/22,Rated 1 stars out of five stars,It used to be great until TikTok shop took it over. You won't make it passed two tiktoks before seeing another one. They have an option to search solely tiktok shop but still insist on having it 90% of everyone for you page as well ...
2024/3/22,Rated 3 stars out of five stars,"I like TikTok. I have an issue though where it says that you can edit the caption and then the next day it says you can't edit it and I don't know why. Can you help me fix it pretty please? I also would love it if you add a feature to where you can change your pictures, videos and the songs after it's posted."
2024/3/22,Rated 1 stars out of five stars,"This app is going from bad to worse with every update. Don't see the translate feature under videos anymore, don't receive notifications for comments and replies(even with the notifications settings turned on), and a new update with video links; they have added this ""Your friend shared this video with you. Watch it now!"" text before the actual link. What is wrong with ya guys? don't like things just working fine that you have to mess'em up with unnecessary useless updates? Fix these issues"
2024/3/22,Rated 1 stars out of five stars,"Tictok refuses to do anything about the buttons on the bottom being constantly visible causing burn-in. This happened to my last phone. Last night i found out they also have pages, like showing videos out of messaging, that prevent your phone from timing out the screen. So this is the second phone ive gotten burn in from just using this app."
2024/3/22,Rated 1 stars out of five stars,"Since loading it, it will not let me follow anyone and even when you click on follow friends, it never shows up that you are. The follow button disappears but as soon as you go to friends it's empty. No matter how many times you try to follow or add them they never show up in your friends list. Even when you get a follow message and click follow back, they never show up. So what's the point."
2024/3/22,Rated 1 stars out of five stars,"The ""nudge"" thing was a dumb addition. Ads on the following page are awful. Video and audio unsync, this has been happening a lot on live streams. Can't block sounds when they get annoying and they keep showing up after hitting ""not interested"" every time. Insane amount of bots and scam accounts, this is a serious issue. So many fake accounts of bots stealing content, when one gets taken down then 5 more pop up"
2024/3/22,Rated 3 stars out of five stars,"Hi there ticktock, I must say this is a good app, but on the honor phones, basically I opened ticktock, and I couldn't faviroute any videos so I went to the play store and updated it, I went to open it again, and it would show me the loading screen then kick me out. Just un-installed and re-installed it, I can now get in, but I still can't faviroute videos! I've checked Google play for any updates, but my app is all up to date, please fix this!"
2024/3/22,Rated 1 stars out of five stars,"Direct massaging is not available for no reason since 3 weeks. Tiktok is not helping to resolve the issue neither answering my reports all ik getting is generated answers that say ""thank you for loving tiktok"" which is completely irrelevant and so disrespectful considering my long explanations of the problem with provided screenshots. Very bad service for such an big application. I cant have the full experience and many people have the same issue. Instagram better."
2024/3/22,Rated 1 stars out of five stars,"Useless only for dummies. NO black screen! Invisible small buttons, complex and small fonts I upload my own videos with my copyright but even recording a video is useless. Then, you put your own voice and songs with YOUR voice recorded with YouTube account and they banned it ALWAYS. As an artist, I have to say, I found it frustrating. *Update 2024: I finally left the app last year! Btw it needs bigger and better fonts. Not improving."
2024/3/22,Rated 1 stars out of five stars,"I updated the app and it logged me out. I can't even log back in, it keeps giving me an error ""try a different method or try again later"". I can't even make it to the password screen unless I use my username, but even trying to reset my password, I get the same error. I've tried in app help and it didn't help at all. Fix your app."
2024/3/22,Rated 1 stars out of five stars,"Extra movement with the new update when swapping from videos to settings or friends DMs is absolutely irritating to look at. It's unnecessary to have extreme movement when opening someone's DM, or opening an video from the DM, or closing out of settings/DMs. Remove this feature or at least make it an option to disable this extra movement in accessibility."
2024/3/22,Rated 3 stars out of five stars,"Still an issue. Hey, R&D, quit screwing with the algorithm. You keep taking me off pages I've been following for months! what's the deal? Finally caved I love technology. I really resisted loading TT , cuz of the challenges, which I think are mostly stupid. But there is a lot of really good content. DIY galore! Pleasantly surprised. Thanks to the developers and content providers! Pls try to keep the ads down. That has ruined FB, IG, and Snap. Pretty please..."
2024/3/22,Rated 2 stars out of five stars,"my fav feature is pretty much useless now. I don't know what happened, but now after maybe 8 related videos on search, there is a random feed having nothing to do with the search. There will be more videos related to you search, but you won't see them while you're scrolling on it and it is very frustrating if you're trying to see very specific content or learn more about something. Almost makes me want to delete the app tbh"
2024/3/22,Rated 1 stars out of five stars,"For some reason the filter I use on tiktok, the most basic one: Green Screen isn't appearing on my new galaxy flip. Along with a bunch of other ones. It's so barren that the trending page only has one supposed filter! I've been seeing reviews here that the tiktok support team said some filters are not available on all phones... What? It's amazing how that makes no sense to start with but the basic green screen isn't available on a galaxy flip but is working on my pixel?! Stupid!"
2024/3/22,Rated 1 stars out of five stars,"apps worked fine for a while. however, no matter how much you can complain about a feature, it doesn't seem to matter. removing the comment feature on reposts, not having dark mode available for android, moving the repost button 50 times, and now the copyright update. this app is BASED on music. cosplayers, dancers, singers, editors, they are holding tiktok up singlehandedly. trends happen via MUSIC. taking away the entire purpose of this app is useless. DISAPPOINTING. make your app WORK."
2024/3/22,Rated 5 stars out of five stars,"That's great to hear! TikTok's ""Use this/any template"" feature indeed offers a convenient way to create diverse and engaging content. It's fantastic that you enjoy exploring various categories like art, videography, photography, and sharing your voice poetry. Keep having fun and expressing yourself on the platform!"
2024/3/22,Rated 1 stars out of five stars,"Great app, I love all the relatable funny , and useful content on here,but sametimes there are problems that occur that are really not supposed too, I don't know if anyone else has been having the same problem as me, but my recently every time I like a video from my fyp, it doesn't appear on my profile in the liked videos section'l tried refreshing multiplayer times,l don't have to update the app because it doesn't need to, and I have cleared out any other tubs that may be open on my phone"
2024/3/22,Rated 2 stars out of five stars,"This app used to be good but half my features have been removed. Can't record for more than 60 seconds, text to speech has disappeared. Barely any filters. It's all gone."
2024/3/22,Rated 1 stars out of five stars,This app rolls out some cool new features at the pace of a frozen snail. I've seen some users with dark mode for over a year hoping that with the next update I'll be able to read comment sections without issues and still no dark mode. 1/13 Every new update comes with bad PowerPoint transitions that nobody asked for or wants that you have to submit help tickets to get removed.
2024/3/22,Rated 2 stars out of five stars,"It was excellent until some software issue prevented me from recording videos. The screen goes black and none of the time increments work. I've updated, changed my phone settings, and restarted my phone. None of it worked. The ads the instant I open the app are annoying too because they lag when closing."
2024/3/22,Rated 2 stars out of five stars,I don't have the repost option and when I go to settings then privacy there is no repost option and when I delete the app and reinstall it the repost button appears for maybe 30 min then it disappears so if u can help me fix this it would be a perfect app bcs every thing is already perfect ð¥°
2024/3/22,Rated 1 stars out of five stars,"It will attempt to get you to befriend your contacts, even after explicitly not giving permission to connect them. Wayyy too many bots who can just add absolutely everyone to their friend list and I have to spend time out of my day removing or blocking them. You can use the ""filter keywords"" feature but it will still show you videos with those keywords so why even try"
2024/3/22,Rated 1 stars out of five stars,"Whatever updates are being done has messed up the commenting features during like. I also noticed the COPYRIGHT thing on your videos. If we have to change the music, why can't we get rid of the wording on the video? The words of the SONGS no longer match up with the words on showing on your videos. There's no option to erase them."
2024/3/22,Rated 4 stars out of five stars,"It's a good app and fun as well, I would give it 5 stars if I didn't have any problems following others because every time time I would follow someone and either refresh the screen or leave and re-enter their page my following would disappear, and I don't if anyone is having this problem or if it's just me but I'm starting to get a bit frustrated about it"
2024/3/22,Rated 1 stars out of five stars,"The update that came out yesterday is full of bugs!!! I can't even comment on a video without it freezing up, then I have to close out and try again. After about 4 times, I can finally post a comment. Also when toggling between pages, it's glitching. FIX IT!"
2024/3/22,Rated 1 stars out of five stars,"This app is one of the most annoying and useless that I have downloaded in my history of using smart phones. You get a daily assault of, what seem to be bots, asking to follow or friend. The app even has a built-in feature to corral these requests to a special area in the app to deal with later. If you do comply to the request and there is a person chatting with you, they seem to not know that you can create a profile to list your basic information. It just becomes tedious to continue to answer."
2024/3/22,Rated 4 stars out of five stars,"Overall one of the best apps I've ever used, but I do not get slideshows on my FYP or following and I've tried everything but it does not work. Aswell I cannot use the repost button and it only works if I uninstall and them reinstall the app, and only works the first time I open it. I've had this app since 2019 and it has always been like this. Fix it please."
2024/3/22,Rated 1 stars out of five stars,"Used to use the app all the time, now with the new update I cannot switch between screens because the animation, which I cannot turn off, gives me migraines and makes me nauseous. I cannot view videos friends have sent me, look at my notifications, or view video comments without triggering this animation. I will be rarely using this app now, if at all."
2024/3/22,Rated 4 stars out of five stars,"App is great, but I experience that same bug over and over, my following page don't show up, I only have for you page, when I change account it's fix but it comes back after I close tik tok app."
2024/3/22,Rated 2 stars out of five stars,"I worked so hard to edit a video, and I tried to post it, and it isn't eligible for the for you page, probably because it's a little hard to see. I feel like that guideline is too harsh and very unfair, as I would see other videos way much blurry on my feed. It isn't fair for content creators because it's not our problem that a clip comes out blurry on your app... my clips were not blurry until I posted the tiktok."
2024/3/22,Rated 3 stars out of five stars,"It's a great app, although it's weird how some features aren't accessible. I've compared two of the same phones, one can post slideshows and the other can't. Would be cool if all the features were accessible on all devices. Great app overall! Gets the job done."
2024/3/22,Rated 3 stars out of five stars,"Tik tok has removed a lot of their translate features, I used to be able to see videos in other languages, and tiktok would have the auto translate features in their closed captions.. I really wish they would bring that back. Don't understand why they would get rid of it. Better experience recommendation is to offer the user to see what language videos they want to see (checkbox all that apply) and then develop translate features."
2024/3/22,Rated 3 stars out of five stars,"If I'm honest the app is amazing in all but there is some problems, like reposts. Everyone I know can do reposts but I've been able to only do it one time and I've never seen that button to repost ever again, as well as the whole ""your tapping too fast take a break"" even if it's just after liking almost 20 videos I've had to make a favourite collection just to go back to the videos I couldn't like the other day. Please get rid of that and fix reposts."
2024/3/22,Rated 4 stars out of five stars,The app is great though i have faced only one problem. There is no possible way of changing the download location apart from sd card and phone storage. Am kindly asking developers to add this feature to enable users change download location to different folders and also a feedback
2024/3/22,Rated 5 stars out of five stars,"ðthe best feature i like most in tiktok is use this any template and i can easily edit videos with just 1 one click and it s a great way to spend my free time ,it includes all kinds of good content including poetry and islamic video's template . videography.photography.etc.where i can get all the benefits of the facility of uploading videos and tutorials of i also speak my voice poetry . thank you all tiktok family and please follow and full support me thanks ð"
2024/3/22,Rated 3 stars out of five stars,The app does what it's supposed to do mostly. It shows your video for how long they are and you can scroll on. But the like feature for me is gliched. Ever since I deleted my old account my new one has been unable to like certain videos. I've sent many requests for them to not answer what's so ever making the support team practically useless. Tiktok please fix this.
2024/3/22,Rated 4 stars out of five stars,"I like the app but theres some problems -many unnesesary updates- they often ruin the experience when nobody asked for them -the deleting account procces. I think you should be given the option wether you actually want to wait the 30. Also the fact that if you havent waited the 30 days and want to use the same gmail account it automatically renews it -The ""not interested"" button not working especially with live videos -adds, even if youre looking at someones account -optimalised only for iphone"
2024/3/22,Rated 2 stars out of five stars,"it's been like 3 years why is there no dark mode like it doesn't take 3 years to add a feature like dark mode. *Update* It's been maybe 5 years now, still no dark mode, EVEN SNAPCHAT FINALLY ADDED DARK MODE!! TikTok is unstable as hell, takes up a lot of storage even without any drafts, after deleting cache and history. AND ALSO REMOVING REPOST COMMENTS WAS SUCH AN UNNECESSARY THING TO DO, LIKE THAT WAS SO UNCALLED FOR, WHO ASKED FOR THAT???"
2024/3/22,Rated 2 stars out of five stars,"App used to be fine, workable, etc. Recent update added a transition visual effect to opening comments/posting videos that causes flashing and spinning on the screen triggering photosensitivity. Nausea inducing to try to use, please fix or give us the accessibility setting to turn it off at least."
2024/3/22,Rated 1 stars out of five stars,This may be the legit buggiest piece of software I've ever touched and I'm a software engineer so that includes half written apps. How is this a major platform? I can't even follow accounts. Help page says to clear cache. Doesn't help. Same thing happens on two different phones. What's the point of a social media platform if the most basic function of it is broken? Go back to undergrad.
2024/3/22,Rated 1 stars out of five stars,"The app is great and all, but I've been having a current problem where I click the follow button to follow another user, but it doesn't work. It keeps telling me to follow them as if I hadn't already clicked the button to. I've tried everything, including creating another account to follow the people I want, but it still doesn't work. Please can something be done about this!!"
2024/3/22,Rated 4 stars out of five stars,"Tiktok is cool. But I just don't believe only 20 of my 4000+ followers make videos each day. And requesting samples aren't easy, why when I tap the buttons to request samples or closes instead of open when I never tapped anything to close it. It should be much easier to put in a request"
2024/3/22,Rated 3 stars out of five stars,"While I was watching my videos, all of a sudden my for you page turned into something called ""restricted mode"", I don't know why they did this, but Tik Tok please fix this. It is incredibly annoying, because I can't look at my following, lives, the Tik Tok shop, or search anything. And everytime I try to log in to a different account, it asked me for a passcode that they never told me about because of the restricted mode. Tik Tok please fix this it is incredibly annoying."
2024/3/22,Rated 1 stars out of five stars,"As much as I love this app and use it. It's a big inconvenience. They remove features for private messages you send. I was talking to my friend, and said ""inner 9 year old me is coming out"", talking about how when I was 9, I was obsessed with the topic. Not even 30 seconds after, they remove my DMs, and tried to put a screen time on my account. I am NOT 9!!! I am 16!! And they won't appeal my account, I tried submitting a photo with my date of birth on a paper with my mother and nothing."
2024/3/22,Rated 5 stars out of five stars,"I love using the app compared amongst all others. I mean, that's my own preference. I will not know other people's preferences. But to me, above all social platforms, it is most happy and socializing and also has Manny features that suit my interests. Therefore, I recommend every individual without forcing, but as personal choice, yu yet yu traim."
2024/3/22,Rated 1 stars out of five stars,"Love the experience, but absolutely no optimization for the Fold 5. I've reinstalled, etc. A few updates ago, they broke how videos are viewed when unfolded, half the time the comments open randomly, and push the video off the screen. I've waited for a fix to no avail."
