date,rating,comment,Category,Sub-Level,
12-May-24,Rated 1 stars out of five stars,"Google Translate has been my trusty translator app that has helped me out in many a situation. It has been extraordinarily useful to me living in a foreign country, until now. I recently switched from iPhone to Android and I find the app to be unusable now. Bear with me while I try to explain. In the main part of the app up top, you have Google Translate written in the top bar, with the drop down me u box to the left. Underneath this, you have another bar with the Language from and Language to, with arrows between them that allow you to quickly switch the places of the two languages. Then under this, you have the area where you can enter the text you want to translate. However, as soon as you tap the text box, everything shifts upward, so that the first and second bar have now disappeared (this is especially annoying when you forget to press the arrows to switch the languages around before pasting in language to be translated from that is set as language to be translated to. There seems to be no way to access the arrows to switch the language positions - this was never a problem in iPhone). All you have is a single solitary bar to enter text at the extreme top of the screen. This makes no sense and on my new Huawei Mate 20 Pro, the app is basically using up 10% of my screen at the extreme top. And because of the location on my large screen, it is simply not comfortable to try reaching to the very top to tap and paste. Bottom line is I've now stopped using the app as it is so cumbersome for the reasons I mentioned above. I'm writing this review in the hopes that Google will consider some much needed changes to the Android version to make it more user-friendly, as I used it frequently on my iPhone and never had an issue.",Bugs,Features & UI,
12-May-24,Rated 3 stars out of five stars,The translate quality is excellent. 3 stars for that. The UI experience is not so great. The one issue is how clunky the software feels to use. The animations when clicking on the text region feels completely unnecessary and less functional. Two menu items containing translate show up when selecting text other than base language. One of them in the extended menu and other first item. The latter of them works 50% of the time. Can't they be unified?,Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"Preferred the previous version. The new layout is terrible. It's extremely frustrating to use. It's much harder to use because of how oversimplified the UI became. No option to revert back tp the previous layout either. There weren't any issues with the previous layout. Not sure why it was changed to something that looks so different. The only minor issue the app had was the accuracy of translation, not the UI. In the meantime, I'll be using another app. Submitted feedback on the app as well.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"I had no issues with the previous layout and found it to be extremely user friendly, functional, and nice to look at. The new update is absolutely horrible, and took away all of the design language features that the previous version of the app brilliantly executed. Please return the previous layout in some way shape or form. As of recent, the app also no longer saves translations in its history at all.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"Recent change to the tap-to-translate functionality renders the app not just inconvenient, but actively annoying (for what was previously a convenient and useful tool). The floating icon interferes with the ability to access other apps & tools, forcing me to move it constantly around the screen to get it out of the way. I have accidentally tapped it countless times in an effort to get it out of the way. This is a bug, pure and simple, not an update. Do NOT refer me to a forum post; fix it!",Bugs,Features & UI,
12-May-24,Rated 5 stars out of five stars,"This app is great. The only thing missing on phone as well as PC is translating from a picture like jpeg. The playspeed of the app is not adjustable enough. A Chinese in Guangzhou could not understand the app through the phone, but there were a lot of variables including that speed that again needs a few more steps between 100% and 50% Plus the tone of voice changes with speed so ideal it would be pitch adjusted. All that said those are the only issues and I've used and loved the app for 6 years",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"The other reviews aren't exaggerating, this newer version, interface and functionality is much worse. Pop up translation bugs from time to time? Okay let's keep it on the screen 24/7 on an enable/disable setting. The old one was so practical, this looks like an attempt to look fancier but also be convoluted. And you wonder why people opt out of updates.",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,"After the latest update, tapping on a word to translate (from browser) shows a ""Translate from Portugese"" rather than defaultly translating from English (to Arabic). The issue is a bit irritating as now I have to tap once or twice more to show the full translation information from the English to Arabic language. Moreover, it's been an eternity for issue's occurance of offline translation no longer working after a few weeks. For the love of god, please fix the aforementioned issues. Thanks.",Bugs,Features & UI,
12-May-24,Rated 4 stars out of five stars,"this is the best translator app I ever knew! it's work very well on my old phone Xiaomi A1. However after I change my phone to Samsung Note 10+, the floating button feature didn't hide, and always in there! When I remove it and try to copy some word, the floating button didn't appear like on the Xiaomi A1! Can you please fix this bug? I would rate 5 if you can fix it! I think it's not that hard tho, good job developer!",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,"The old user interface was much better, and I am used to using it, and access to the features inside it was better. In addition to integrating the translation feature by photographing with Google lens, the application worked well. I think that Google should investigate the issue of the smoothness of the application for its users and not cling to its opinions so that Google Translator does not become",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,"Good app for translating on the go but somehow when using the inapp microphone the last word is clipped, i.e. not recorded. A known issue with still no resolution in sight. Example: ""I would like to meet your friends"" is transcribed as ""I would like to meet your"". Workaround : repeat last word of sentence twice or type it in. Really surprising that Google have not yet been able to sort this out. The funny thing is when I use the microphone in the popup keyboard, everything works just fine.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"When using the microphone, if you don't say anything within less than a second or two it stops listening! Or often it just cuts off immediately! Also, it can just cut you off mid sentence! Seriously!? Also, the translate button just says on the screen permanently instead of only appearing when text is copied! I REALLY don't like this change! It's in the way! Does anyone test this before it's released? It has serious bugs.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"New version has broken layout, microphone and write button are in wrong place. Also delays during app animations are pointless. Sorry for not being clear. What you replied is the bug, mic and pen are visible and their position is the problem. I'm using right hand and I constantly tap on write button when I want to see keyboard. I downgraded app version to be able to use it again.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"The behavior of saved translations is unpredictable. It may disappear suddenly. It never comes back to the same scroll position when opening a translation and then pressing back. The search option in the saved disappears from time to time. [3/7/22] Dear Google Translate, I have talked to the Community as you proposed. I have been waiting for 4 months since then. It's sad to see how a big company became so neglecting toward the customers. The bugs are so easy to reproduce...",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"Poor speech recognition and getting worse!! Again, I use this app to communicate with my wife on a daily basis. She speaks exclusively Mandarin. It seems that the performance of this app has deteriorated instead of getting better with updates. The app does not recognize simple words in the context they are meant. For example names. I said my brothers name (Jim)but the app translated it as the word (gym) in the sentence. There are other speech recognition issues as well that need fixing.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"Please fix it as soon as possible! Especially the Taptotranslate feature, the floating thing was the best thing for this app before the update as it only appeared once you copied something you want to translate and with one touch you can view the translation and be done. NOW it is very annoying that it stays on screen all the time and takes many taps to just view the translation. I know that you are trying to advance the app, fix bugs, and add new features for all users. BUT do not compromise.",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,"Ever since the translation app updated you can never get rid of the popup shortcut. Before the update, it would only overlay on the screen when you were actually using it for translations. After you clicked out of it, the shortcut would automatically hide. I have deleted and reinstalled the app several times hoping it would correct the bugs in the overlay settings. You are forced to disable the overlay so it's not interfering with every screen on your phone when it's not in use!",Bugs,Features & UI,
12-May-24,Rated 4 stars out of five stars,"The new interface took some time to get used to but I'm quite satisfied with the new look. What bugs me is that many languages have this abrupt stop at the end of record, sometimes it ends even before the ending of the word. For example, when I was trying to hear the proper spelling of a Norwegian word but couldn't make out the last part due to the abrupt stop. For now the only way to here the entire sentence is to add another word at the end of it so the recording won't stop so abruptly.",Bugs,Features & UI,
12-May-24,Rated 4 stars out of five stars,My gf who knows and speaks over half-a-dozen dialects informed me that this app is pretty accurate. I noticed that this app has a huge list of languages however some of those languages don't have the speak back feature for the output. I personally use this app as a learning tool to learn how to speak new languages so that speak back festure for both input and output at a slow to med speed of the entire language list will be very beneficial hence the 4strz rating for now. Fixing this issue: 5strz,Bugs,Features & UI,
12-May-24,Rated 5 stars out of five stars,"Translate is always good, no real complaints, but I have a problem. When I hit the switch button in between my two selected languages, it doesn't do as it says. It only repeats the phrase input on the top into the bottom box, and does not switch the untranslated and translated. Still, 5/5 stars even with this bug. (^^)",Bugs,Features & UI,
12-May-24,Rated 3 stars out of five stars,"I've relied on this for years to help with language learning but two things have always bugged me about the camera mode: by default the original text is covered up by the translation (why can't we set our own default?) and it's quite difficult to select text that's bigger than a word but smaller than the whole page - and the latter is even harder now that Translate outsources the camera to Lens, where half the screen is covered with buttons and pop-up dialogs.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"I already sent a message to the developer about the issues with Google Translate and the App is getting worse. When translating to Japanese, the App over rides the pronunciation of it's own translation, giving a wrong Onyomi. The text doesn't fit in the upper corner of the screen so the first letter is void. When manually typing Japanese, the character search happens to fast, by then not allowing me to finish the writing of the whole character. Difficult to use in that sense.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"Update: not only is the ""new"" (now 1 y.o.) interface strictly worse, but now it doesn't even work! I'm on Xiaomi Redmi note 11 and it buffers forever without finding a translation. I tried reinstalling it, still won't fix the bug. Description: after inputting the wor, the translator shows a grey blank, as it would when it is loading the answer. It gets stuck there. Occasionally, when moving to a different app and coming back, the translation is displayed, like it has always been there.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"Unfortunately, this attempt to create a modern and minimalistic layout has oversimplified the app to the point that its purpose and function are inconvenient to use compared to its online counterpart. This update deteriorated this app's effortless function to a sluggish and buggy shell of what it once was. The speech, camera, and translate functions are not helpful anymore. Everything that made this app special was either removed or complicated to use. I wish that I had never updated this app!!!",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"Please for my mental health, fix this bug, I'm going crazy. I'm translating screenshots on my phone (camera / import / select a picture / hover text), when I select some text I need to scroll the top blue horizontal bar to the right, and the second I reach the end of the text, my motion to the left (I'm scrolling horizontaly) is detected as a ""previous page"" motion and I'm kicked to the google translate menu and has to start all over. Happened 10 times in a row on a single screenshot",Bugs,Features & UI,
12-May-24,Rated 3 stars out of five stars,"This is a very ""useful"" tool, but OMG does it have glitches. First, if you open the mobile app and do a translation on your phone and also do it with the full translator web page in a laptop browser, the accuracy of the full page translation is much better than in the app. If I don't carefully proofread the app translations before sending them, OMG! They're often not at all accurate. And second, it has a very annoying bug. The setting ""tap to translate"" turns itself off randomly. That's a hassle",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,"It's near impossible to edit a text when you're using Google translate. I have to write something in another application then copy and paste it over because when I try to write or edit text in the application, the display becomes so small that I can only see one line at a time. The bottom 1/3 of my screen becomes the keyboard, the middle 1/3 of becomes blank space, and the too 1/3 is split into one line of the organal text and one line of translated text. Can this issue please be resolved.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"In the last month the app just shows connection issue when trying to translate. I tried deleting cache and data, reinstalling but the issue remains. Also the new user interface is so frustrating and hard to use. I want the previous UI that was so much easier and efficient. Edit: the Google translate help community was no use, the guy doesn't even listen to what I'm trying to say and starts blaming me for the problem.",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,"New interface is very confusing. I repeatedly mis-click 'new translation' to get to translated text. ""Let's ignore acutual bugs and problems, and instead change fonts, put nursery colours and move buttons from top to the middle."" Most popular i.e. from/to English translations are nearly perfect. Struggles heavily where 'polite plural' is used. Some translations, like French<->Polish are often hilariously wrong. Some expressions are treated as idiomatic while they are not. Someone is trolling?",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,"This new interface is NOT very good. Ginormous size 48 font makes it harder to read and use. Translation languages can't be exchanged in the translation, the added step of going back to the previous screen. Not as intuitive, only accidentally found history in pull down menu. Will probably find new issues with such an overall.",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,"This application used to work, but downloading languages offline stopped working a few months ago. Same issue on two different phones: it's stuck in ""Starting download..."". PS. I *do* have stable WiFi internet. I *did* try to reinstall the app and follow the instructions. It keeps not working on 3 different devices with the latest version of the app.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"I am sorry but last update of this app was unlucky comparing to ealier version. I was using your app many years and it was excellent work, however, your last update has many bugs, for example, audio translation in conversion section is no data, and also doesn't working function ""Copy and Tap"". Please, get back old version! I canceled your app!",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"For goodness sake, I have to constantly crop images with Japanese text (for the text to take up the entire screen essentially) just for the translation to not read everything as an English letter (thinking random kanji/hirigana/etc. are just random letters like 'SSNI' and then follows with some that were actually read correctly), but I still get letters even when I've zoomed in. This used to never be an issue until late 2020, and it still hasn't been resolved.",Bugs,Features & UI,
12-May-24,Rated 5 stars out of five stars,"I really believe the words as result of ""translate"" app should remain converted at 1:1 rateo and let people judge, because we need to minimize risk of building database's full of ""presets - phrases""..it is understandable some errors of mic when it tries to read imputed voice. Very useful app!...if possible,in eventually updates..try to enable ""off-line sound""",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"I'm having a really bad issue with the offline translation packages. I'll TRY to download the Italian package, but then it takes long to download (after half an hour, it still says 'Starting Download', and then I eventually quit. Before one of these updates, this was not an issue. I'm using a Sony Xperia L1. Please respond so I can know what I can do to fix this my self. I don't have a VPN. Edit: I have tried reinstalling it, with a relatively stable connection, and with my mobile data. This has brought no effect on the app.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"Currently in Korea, where they issue many emergency notifications to your phone. I have to use a translator app to determine if it's just bad weather or something more serious. This app will not recognize newly dowbloaded images or screen shots. It makes it really difficult to translate something I can not copy and paste or immediately capture with my camera.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"After changing from galaxy s8 to s10, it stopped intercepting highlighted text. In previous s8 whenever I highlight the text Google translate would pop up as a floating icon with already ready translation. Moreover it didn't need to be on or floating on main window all the time. It was running in the background. What might be issue. Current version even if the icon is floating on the screen it does not intercept the highlighted text.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"There is a terrible big bug in this app for a long time that they do not tend to solve it and that is why I give them this score :"" you comfortably type for a long time and when you tap to translate,suddenly the app closes and you miss all your writing.The same happens when you edit tour text."" Is there anything worse than this? That is crazy!!!!!",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"Do the developers even use this app? It's horrible. Please try living in a country where you don't speak the language and test this. First issue, tap to translate, why on earth would i want the icon on my screen the whole time? Second when you do a translation, why is the box for reading it so small? Third; translating apps and websites with the photoscan feature is such a painful process, going back and forth for each new screen... I really feel like translation should be built into Android.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"The Material You update has rendered this app almost useless... This used to be my most used Google app. My girlfriend is latina. I used the tap to translate feature constantly. Now, I no longer have that feature. My UI doesn't have a settings icon. It only has a feedback button. How can I roll back to the previous version? Who asked the user base what features were important prior to making such a massive change? I'm QA with 20 years experience. I've NEVER seen such a horrible fail before.",Bugs,Features & UI,
12-May-24,Rated 3 stars out of five stars,This used to be in my top 2 apps. I don't know why there's been such a shift but issues with offline translation made me drop a star from the rating. Then the inability to clear translation history removes another. Please fix offline translation where for some bizarre reason it says there is a problem with the connection (defeats the purpose of offline translation). Please add a clear translation history back to the settings menu.,Bugs,Features & UI,
12-May-24,Rated 3 stars out of five stars,"It's a good app, but since I got my Samsung Note10+ I have an issue with (tap to translate) option, as it doesn't work smoothly as before. After enabling the option appears the pop up icon permanent on my screen which is annoying. It used to appear only when I copy a text. So, please fix it, because I find it the most helpful option in this app.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"How much longer until the previous version (that worked perfectly fine) is brought back? Really tired of wanting to translate something directly from the page I am reading and this feature, more often than not, simply not working. Please don't persist on this new failed design and functionality and just take one step back to something that was great.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"Terrible update. I used GT for everything. Before you just had to copy text and click GT and your copied text would pop up. You could also click on the GT to open the app and edit the text. If the issue was history of last translated word, should have just added that option. But now when you copy and click the pop up, you have to erase everything and paste every single time. Need to navigate options for opening app. Shamefully inconvenient. One page worth used to take 9 minutes but now takes 35",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,"This is very harsh updated version app. Previous version is much better then this one. One more issue, previously we are allowed to use offline version but in latest version we are not allowed to use it. I don't have any problem with interface. Might be UI/UX dev is trying to do something new experimentally 🤔. But why you removed offline features 😕. Bring it back please.",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,"The app is incredibly unwieldy if you want to edit whatever text you might have copied and pasted into it. It only displays a ridiculously narrow edit bar, while the rest of the screen is unused. Older versions that I used to use didn't have this issue and this poor edit functionality really breaks my experience using it.",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,After Android 10 update The Tap to translate function isn't working. The bubble won't disappear after using translate. It stays on the screen all the time and displaying over all apps.* And when i dismiss the bubble by dragging then it not comes automatically I've to go in the application for translates any language *. It's not working like before... I'm using latest update of google translate despite this I'm facing this issue. Please fix this problem as soon as possible. Thank you,Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,Google translate camera is not open for screen shot print plz help me and resolve my issue,Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,"translation to English is rudimentary. application however does not..., how you say swap, properly. to ensure accuracy in translation is best to use ""swap"" button for clarifying intent. when this button is deployed application presents English text in foreign text field. what use is this for one who is not speaking English? how will they understand? 2 starts for almost being worthless. i just described the issue, dipshit",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"Good app for a quick translation but i quit using it since they updated the menu interface and changed the history section. In my opinion it doesn't feel user friendly anymore if you plan on using it a lot. Biggest personal issues: bottom to top history listing should be reversed, swiping to delete previous translations should be removed or toggleable and the update deleted years of translation history that I couldn't recover.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"The old version was better. The microphone button used to be at the top, for example, now i seem to always be moving the keyboard out of the way. I use an issued apple phone for my work and end up translating from that much more often, even at home. Please return to the original version!",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,"Google Translate has been the one Google app that I use everyday throughout the day on my Samsung Galaxy S10.. For assisting me with communicating in Spanish, it has been my ""be all"". HOWEVER, just in the past couple days, Google Translate will ONLY open in the Conversation mode. The primary Google Translate format cannot be accessed. I have deleted and reinstalled Google Translate numerous times. After installation and when I open Google Translate while on the Play Store page, it will open to the primary format. However, once I close the app and open it again, it opens to the Conversation mode screen. I have cleared the Google Translate and Google Play Services cache. I've don a petition wipe; and so far nothing has changed. If I want to use Google Translate in its primary mode, I have to access through my Chrome browser in order to be able to have speech input. Although I have loved using the Google Translate and it has helped me so immensely in my efforts to learn to speak, write and read Spanish, now I am absolutely bewildered over this development. Also, I unfortunately don't have much hope of even being able to get any support that might resolve this issue. So, I am going to sadly give Google Translate a 2 Star rating. Of course, if there is a resolution to my problem, be assured that I will review Google Translate again!",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"Read recent reviews—did Google do ANY user testing before releasing the new UI? The new interface is a complete failure. They've made it LESS efficient, LESS intuitive, LESS useful. Form follows FUNCTION; or at least it should. Please revert to the old UI, or make it an option. It's now difficult to use this app for anything other than simple words or a single sentence. And you have to scroll to find most recent history at the BOTTOM? Absurd. Searching for new app to replace this. Epic fail.",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,"I also never leave reviews and I appreciate that its being improved. But this latest update is so user unfriendly for my use case. The first thing that jumps out at me is the huge, giant font. It is not adjustable. I am not using this to have conversations with people where I share my screen. The release notes say ""Bug fixes and improvements"". This is completely redesigned. I use this app daily and the latest version feels much less functional. I love this app, but please, you broke it 🥺",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,"Since the update and new format, this app has a bug with the sound! I cannot hear the translation even when the volume on my phn is turned up to the max., so I have to continually uninstall and reinstall to resolve it temporarily to listen to the pronunciations of the words. Please fix this bug, the sound worked perfectly fine before the update!",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"I never realised quite how inaccurate this tool can be until just now. A failing which is made all the more worse by the fact that suggestions for better translations cannot be made in the app. Edit: I thought I might respond to the response below. Tapping on ""Help and feedback"" as suggested below, brings me to an internal browser version of the help webpage. From here, I'm not sure how to submit feedback. The user journey here is as clear as mud.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"Unhappy with changes to the handwriting functionality. If you have an existing translation and you want to add to it, you can no longer directly handwrite. Unclear if this is a bug. You added 2 additional clicks because now you have to click the field, the keyboard pops up, then you click the icon to change from keyboard to handwriting, then the handwriting prompt pops up. You used to be able to get to the handwriting prompt directly from the main translation page. 1 star for exposure, loved the app otherwise, please revert this change! *****edit: to respond to dev, Yes the handwriting and microphone are on the right when the ""tap to enter text"" is BLANK. But if it already has words and I want to ADD MORE WORDS, I can't handwrite. I have to click into it, then change from keyboard to handwriting. You used to be able to append directly via handwrite.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"I've been using this app for a long. But now its latest version is worst, it has many bugs. Like it doesn't show latest translation in history. And new layout is very annoying. Old version was super. there was no need to change its layout and other options. Please get us old version back. Whenever its old version is back, l'll definitely give it 5 stars. Hope you'll take this feedback positively. Thank you!",Bugs,Features & UI,
12-May-24,Rated 3 stars out of five stars,"Very buggy recently. Does not show pin yin during chinese translations, tap to translate has persistent notif, screen shifts when accessing translate Update 03/03/2020: understand tap to translate security removal. But the fact that pin yin does not show in translationa from Chinese to eng still an issue. Also, when tapping text entry area, the area moves to the top of the screen with a slow animation, increasing user friction.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"Audio playback only works once, then all the buttons stop working for some reason. The touch areas on the sides seem to not work for some reason on the s23 ultra, android 14 in portrait. Rotating it via landscape and it works fine again. So clearly something about portrait touch zones are bugged....",Bugs,Features & UI,
12-May-24,Rated 4 stars out of five stars,"Live Lens translation doesn't work, even when I update Google app. [Update edit]: I think I solved the issue, I was running my Samsung phone on ""battery saving mode, limit home page and apps"", therefore it was constantly popping up that message to ""update the Google App""",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"Do a fix already that you application time to time lags and crushes when I open it/start typing something/tap a sign “change languge�?and all other actions! This bug is take place more that ONE YEAR! The same error on 3 android devices Galaxy Note 10 plus, Tab s6, galaxy s9. Android of the 9th version. I have the latest version of ur program. This bug has taken place in each version within all releases of last year.",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,It used to be one of my faverate translation tool because whenever I would copy something the icon would pop up that was quite helpful to translate stuffs right off the bats but now after updating the application I realised that the wonderful feature is gone now just there is a floting icon option that stays on the screen all the time and that is quite irritating. I would like the team to fix this issue asap.,Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"UPD: I didn't know that the UI of the app can be broken so badly. Now you can't even swap the language, because there is no icon anymore. You doing great google, continue plz. \nThank you for killing the tap to translate feature. Now we have another useless google app. It has amazing permanent notifications plus a permanent bubble on thescreen. And if u hide this tap to translate doesn't work. Amazing solution! (Google, your link doesn't solve the issue. Your link about nonworking bubble at all)",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,"The latest version brought with it some bugs, like effectively making the region section in the settings obsolete where you could change the accent of a language. In my case, I was using English (US) but it now defaults to my English (India). Also, I tried disabling 'Prefer network text-to-speech' under 'Data Usage' and it should have worked, defaulting to whatever voice you set in your phone's settings, except it's US, voice �? which is not very human-like; robotic, synthetic.",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,"Can the developers please advise if this is usr problem or app issue? When I tap the mic icon for speech to text, I haven't even finished saying my complete sentence & app decides to cut off my voice input. This is really frustrating because i end up with half my sentence almost 98% of the time. To circumvent this, I had to switch over to conversation mode which does capture the entire sentence I want to say. Can you make the mic button press & hold to speak; & release when done?",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"It wasn't happening before but for a week or so, the English accent keeps changing to Indian even if I chose UK. You have a section where you can select the region but why bother when you always change it to a specific one! The Google Indian English accent is terrible!!! And it doesn't change back to UK no matter how much I try. I keep uninstalling and installing to fix it but it doesn't work. Why is this happening? Is it a bug? Please fix it!",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"Hello .When I try to edit my text after reviewing the translation the edit box is tiny and at the top of the screen. Most of the screen is, wasted and its very difficult to edit the text. I cannot believe that Google would build an editor as poor as this. Is there a work around. surely there must be. If not, it need an aftermarket editor of some description. The editing window is shown below minus the popup keyboard.Please resolve this issue 🙏.",Bugs,Features & UI,
12-May-24,Rated 2 stars out of five stars,New update is worthless. Facing many issue in this. Last one is the best version. Now history words searching is long route. In last update clearly mentioned in homepage in time sorting format. Now only show starred words in history. Facing lot if problems. So kindly request to team. Please allow last one update it was best version for everyone. Thank you!!,Bugs,Features & UI,
12-May-24,Rated 5 stars out of five stars,"this is the best translater i've ever used, it helped me translate 100 page essay from Arabic to English with no issues. 👍👍",Bugs,Features & UI,
12-May-24,Rated 1 stars out of five stars,"After update to Android 10 of my S9 plus, Google translate icon is continuously coming on screen of mobile which is very irritating. Previously it used to come only when we will copy the message. Need to remove this bug immediately. Please put this in your next update of the application. thank you Thank you for response. But still whatever reason can not justify the annoying icon coming continuously on screen. Hopefully this will go with the next update. Thank you.",Bugs,Features & UI,
