date,rating,comment,,,
20-Mar-24,Rated 2 stars out of five stars,"Really unhappy with how treats online/offline. If I've got a downloaded playlist and my wi-fi isn't connected, in online mode it will stop between songs. Works fine in offline mode. If I'm in offline mode and I pick an online feature (eg DJ) it just spins. I can't even get to settings or the back button. I gave to stop the app. So I'm constantly going back and forth between online and offline modes, which takes a lot of strokes and scrolls. Also don't like how it handles podcasts.",,,
20-Mar-24,Rated 4 stars out of five stars,"If you don't have Spotify Premium its horrible use Youtube instead. If you do have Premium, then its a great app to listen music to and has many options, lots of great quality of life features and integrations with your devices that it is nice to just quickly pop open whenever (or instantly continue what you were listening to before if you don't fully close the app) and listen to your favorite songs. Although you really have to get Premium for it to be any good.",,,
20-Mar-24,Rated 1 stars out of five stars,"Playlists will play the same 30 odd songs. Artists that have clearly paid the most money to appear on everyone's feed show up consistently while scrolling through main feed. Spotify ""Jam"" feature does not work at all, any time a person pauses and restarts a song it glitches and will pause playback immediately after pressing play button. AI DJ is a feature with much potential but plays the same 30 odd songs, as well as a few new ones. Overall quality has plummeted.",,,
20-Mar-24,Rated 2 stars out of five stars,"I've tried a few other music services and this android app is now probably the best of the bunch as far as stability. However, the music service is near the bottom. Worst of the bunch maybe. It's all due to the forced ""made for you"" feature. It just ends up playing the same handful of songs no matter where you go, it seems. The algorithms most likely just limits the royalties Spotify has to pay to artists while limiting the variety of songs and the possibility of discovering new music.",,,
20-Mar-24,Rated 2 stars out of five stars,"Having the same issues as Maxwell W. (below): ""... l'm having a very difficult time getting the app to consistently and reliably play podcasts. Oftentimes when I go to play an episode it just loads a black Ui, the play button is unresponsive, with a timestamp reading of 0:00. I have to restart my entire phone in order to get it to finally play ...""",,,
20-Mar-24,Rated 1 stars out of five stars,"Good app but after the new update the control panel on mobile during background play freezes constantly, and no longer lets you go back or forward on your audio using the slider. This is on the premium version. Hope it gets fixed soon. Offline features are also not working as well as they were. Why update if youre just going to make everything worse???",,,
20-Mar-24,Rated 2 stars out of five stars,App has gone downhill in the past few updates. Adding new songs to playlists is difficult and tends to cause the app to freeze up and crash. It is very difficult to navigate to different songs or playlists due to the app lagging. The offline feature doesn't work anymore and music I have downloaded can't be played. This was never an issue in the past.,,,
20-Mar-24,Rated 1 stars out of five stars,"It was good, but now it won't work. At all. Last time it kicked me out my account after months so I made a new one, it was good for a while now it won't let me play ANYTHING, and I have playlists, but Spotify got rid of that play? button so now I can't play any songs. But I 'can add songs onto my playlists' but spotify won't even show me the songs that are on there already. Nothing works anymore and I can't use it. It keeps saying that playing a song is a premium feature when obviously it isnt..",,,
20-Mar-24,Rated 2 stars out of five stars,"Spotify has steadily declined over the last ~2.5 years. The worst is their AI shuffle, which overplays your favorite songs until you hate them or only ever plays the same 10 songs that you heard the first time you shuffled a playlist. This can't be turned off. Songs will randomly pause and claim they're still playing. The ""download music"" feature almost never works when I actually don't have service and need it. Every time I open the app, it says I don't have internet and spazzes out. Use Apple.",,,
20-Mar-24,Rated 1 stars out of five stars,"Hate the free Spotify but it's the only thing I have as I'm too poor for premium currently (I'm being serious too), and the ads SUCK. Can't even get the ""targeted ads"" or whatever right, I keep getting ads of things I hate and whenever I click the dislike button (or whatever it's called) it just gives me the ad more... Like thanks for the ad of stuff I hate instead of things relevant to me and don't make me want to uninstall the app for a different music app! (heavy sarcasm)",,,
20-Mar-24,Rated 3 stars out of five stars,"The app is usually brilliant. Recently it has started to play up. The player will randomly pause whatever you're listening to, while still displaying a ""pause"" button, indicating that the player believes is it playing. You have to pause, then play again. In the grand scheme of things it's not a huge issue, but can be very annoying when working with both hands. Device is a Pixel 5.",,,
20-Mar-24,Rated 2 stars out of five stars,"I hate the new update. The removal of the like button has made everything worse from sorting out songs to figuring out which ones I like or haven't listened to yet, and now I don't know. I was enjoying Spotify on my Chromebook because it had the like button, and made everything easier to sort and quick to see what songs I already listened to \ liked. Now I have to click every, single, song to see if I listened to it or not. Also, be nicer to non-premium users",,,
20-Mar-24,Rated 3 stars out of five stars,"Spotify is total garbage for listening to podcasts. You can't access premium subscriptions of podcasts; it will show an episode that you're in the middle of on your home screen, but when you click on it, it doesn't take you to that episode. There's no option on the app for an entire list of just songs of an artist- you have to go in and out of albums; sometimes an album won't even be listed on an artist's page - you have to search for it directly. That's just a FEW issues & SUPER glitchy lately.",,,
20-Mar-24,Rated 1 stars out of five stars,Auto plays randomly with a BT connected. This has been a long-standing issue. I'll be on a phone call and when the call disconnects Spotify automatically plays. Even though I was not using the app. There's a bunch of proposed fixes online but none of them work. I switched to Amazon music years ago because of this. *** Update***I will not contact customer support. Problem is plastered all over the Spotify community page. Generic response is laughable. Either fix it or own it! Amazon MUSIC FTW!,,,
20-Mar-24,Rated 3 stars out of five stars,"Good but not great app. Issues: Navigation confusing. Hitting back button doesn't bring you to album you're listening to as it should. When you use menu to go to album it doesn't have current song highlighted, which is idiotic. Hitting back button can unexpectedly exit app. I have it set to continue playing music after album or playlist is finished but it never does so. Daily Mix never updates.",,,
20-Mar-24,Rated 3 stars out of five stars,"Recently have started having issues with the music player widget on the lock screen and notification panel - Galaxy S21 Ultra on One UI 6.0. Sometimes does not update the current track that's playing, sometimes it does update the track that's playing, but the track time/scrubber is missing. Also not showing track information when using Bluetooth audio on car stereo, and is causing issues on Android Auto where there is no track information displayed or play/pause/skip buttons. Can you please fix.",,,
20-Mar-24,Rated 2 stars out of five stars,"Pros: Huge library. Cons: New features are overly intrusive. No high definition audio. Getting expensive. Everything else is car (Android Auto) related... Difficult to navigate relative to the app. Subscribed podcasts never show in home, only library, and you cannot go to your library without opening the full app (in car mode). Auto plays when connected to a device (there used to be a way to turn this off?). When it does autoplay it's often not what you were last listening too.",,,
20-Mar-24,Rated 1 stars out of five stars,"App recently broke in March 2024. I updated the app since liked songs from smart shuffle enabled doesn't add the song to the ""liked songs"" default list. The + button would never change to a heart and the song would never populate in playlist. After updating today, pressing shuffle button a couple times does not enable smart shuffle anymore. Only regular shuffle is available and I'm premium sub. App is super unstable and inconsistent now. Disappointing and inconvenient. Lost a lot of songs.",,,
20-Mar-24,Rated 1 stars out of five stars,"Not sure who signed off on the new interface but the homepage is useless now. One BIG card for each playlist covering the entire screen removes the usability of the homepage completely. It's hard to read, the user gains zero additional information about the playlist. Im not scrolling TikTok I'm trying to find music to listen to. I have no reason to see the canvas of a song before I even open the playlist. Information density is no more. The old one was at least useable.",,,
20-Mar-24,Rated 2 stars out of five stars,"Until recently the app worked great, I use it offline to listen to music as I don't have much data, but recently randomly a lot of songs are unable to download even though I previously had them downloaded. I have tried everything I can think of and looked for solutions online including on your support pages but I couldn't find much there to help at all with the issue.",,,
20-Mar-24,Rated 2 stars out of five stars,"I have been using Spotify regularly since 2017. I have 300 Playlists. Unfortunately, spotify fascistically decided that every user must use their new feature 'smart shuffle' which constantly turns on by default for every playlist every time you reopen the app, and takes 5 full seconds of loading to turn off. Every. Single. Time. you open a playlist. I have never used this feature. I never will use this feature. Spotify provides no way to turn it off permanently. I will be canceling membership.",,,
20-Mar-24,Rated 1 stars out of five stars,"These developers do not care. And why does it consistently want to play music I skip consistently? Just because I ""liked"" it doesn't mean I want it on heavy rotation! I said it before, and I'll say it again: this app need a feature similar to what Pandora has where they ""put it on the shelf for a while."" When will spotify fix its algorithms and stop shuffling the same 1 or 2 hrs of music in a playlist that I skip when the said playlist is 11 hrs long? Fix this issue!",,,
20-Mar-24,Rated 1 stars out of five stars,"Recently upgraded from an s9 to an a54. It as though spotify thinks my phone got 15 years older with how bad the app runs on a brand new phone. App takes a few minutes to load anything besides a black screen then takes an unacceptable amount of time to load playlists, skip songs, change settings, you name it. If thus remains unfixed I'll switch services.",,,
20-Mar-24,Rated 1 stars out of five stars,"My premium just got expired, and I notice it just now that how messed-up they have made this app for non-premium users. The most basic and important feature 'Autoplay' is totally totally nonsense with forced spotify recommendations in a personal playlist, I mean playing the advertisements is not enough for you that you make people listen the songs they don't want to! Never buying Spotify Premium until you fix some important things for the free users :)",,,
20-Mar-24,Rated 1 stars out of five stars,"It's been really slow lately to the point I can't even use it because the front page won't load Update: I did reinstalled the app and the same problem persists, when I open the initial page will be just the loading icon and nothing more, I can't access my Playlist from the landing page and any other feature takes so long to load that I even close the app. Thinking about canceling my plan",,,
20-Mar-24,Rated 3 stars out of five stars,"Update for Android really needs to be reviewed before publishing.If I put my music to shuffle, shuffle. If I put my music to not shuffle, don't shuffle.Remove those buttons if it's not going to work the correct way. It's really annoying that I have to close the app and reopen it every so often because it completely stops when I tell it to shuffle and not to shuffle or it decides to just stay on smart shuffle. I DONT WANT TO SMART SHUFFLE. Also, the widget size.Why change it? Spot premium btw",,,
20-Mar-24,Rated 1 stars out of five stars,The app autoplays songs when connected to any Bluetooth device like car. Will start autoplaying repeatedly despite stopping the music. It doesn't even have a feature to stop autoplaying. We will have to disconnect from Bluetooth device if we don't want to listen to music. And there's no feedback option in the app so that the problem can be updated to the app creators.,,,
20-Mar-24,Rated 3 stars out of five stars,"You *have* to pay for Premium in order to use the app. Can't skip songs and can't listen to them in order, among other things, which should be basic features considering you have ads playing in between your songs. Jam is a great addition but it's sloppy, constantly pauses while listening long-distance. Mostly sticking to it because of convenience but it could improve in a lot of ways. Some things were overdone over the years, which is a shame.",,,
20-Mar-24,Rated 1 stars out of five stars,"Look, I like Spotify. Maybe the sound quality could be better, and maybe it would be nice if they had a more robust catalog- but it serves it's purpose, especially with Premium. However, I reached out to support regarding an issue with the offline download feature because my playlists were not being fully downloaded. I was jerked around by three different agents and told to make a new account, and then told I'll have to pay premium again just to see if this solved my problem. Ridiculous.",,,
20-Mar-24,Rated 4 stars out of five stars,"The music sounds good, creating your list is easy. My only gripe is that when I drive, I out it in my phone holder and it doesn't rotate to landscape mode, also, if I get a phone call, when I answer, I lose my navigation. The map turns off and the phone app stays on. Only happens with this app. Pandora used to let me keep nab on top. So If I don't know where im going, I can't answer my phone otherwise I can't see where I'm going. Wish they would fix these two things. Waiting on an update",,,
20-Mar-24,Rated 1 stars out of five stars,"Plays whatever Spotify want to on the FREE version, they try to bully you effectively into paying for a subscription now by repeatedly playing the same advert again and again without variation and by throwing in music they think you may (or probably don't) want to hear. The FREE versions of the app gives you a good idea of the company and where things are going, Spotify used to be great, but first adverts, then removed features, only premium. +i don't think it's value for money comparatively.",,,
20-Mar-24,Rated 2 stars out of five stars,"A disaster update Please bring back the color edit option for the Instagram story section. In the new update, you can only choose 3 background colors, all of which are awful. You are regressing over time, not progressing. You have already removed the letters in the left-hand or right-hand section. Now the color. Please return it.",,,
20-Mar-24,Rated 1 stars out of five stars,"Why am I paying for something that doesn't work? Out of nowhere, the app started having problems and re-installing doesn't fix it. I used to be able to control the app from my phone's preview/lock screen, now I have to unlock my phone and go into the app to do it and even then it still freezes sometimes. It also doesn't interface with my car correctly anymore. Just a blank or frozen screen, defeating the purpose of car screen/mode. And I know it's not my device since all other apps work fine",,,
20-Mar-24,Rated 1 stars out of five stars,HATE the new update. My shortcut is permanently frozen so i cant control the app in the background. Hide song feature broken. Very annoying & inconvenient. Will use other apps til fixed. & i miss the previous algorithm. When I would select a song it would play songs specifically from that same time period or genre; now no matter what I play it shuffles the same 20 songs :/ pls bring back the old method. Doesn't make sense why I am playing a song from 1992 and the next one that plays is from 2023,,,
20-Mar-24,Rated 3 stars out of five stars,"I like listening to music on it but only when it let's me. The desktop and tablet version of Spotify is pretty good because it actually lets me play the songs I want to. The mobile app, however, is basic garbage since it never plays the songs I want it to. I have to click the same song several times just to here the actually song because other random songs are playing instead. This never happens on the desktop or mobile version. Literally why can't I just hear the song I wanted to hear???",,,
20-Mar-24,Rated 1 stars out of five stars,"Spotify's new features are making it worse. I can't even play my favorite song more than once; to replay it, it's asking for a premium membership or requiring me to wait until tomorrow. Also, the repeat shuffle mode is off. Now, add more features to make it even more unbearable, ensuring it can no longer be used for free without premium.Alternatives options are there to use rather than to use this useless app.",,,
20-Mar-24,Rated 2 stars out of five stars,"After the update recently the tab on my notification bar won't update to the song current that's playing nor let me scroll forward or back on the song. More importantly, I am no longer able to pause or skip songs through my lockscreen. The little pop up thats usually there has completely disappeared. I've tried everything but nothing works",,,
20-Mar-24,Rated 1 stars out of five stars,I unequivocally do not want smart shuffle to EVER be on. Tell me why nearly every time I switch between my playlists it has been turned back on???? It is not wanted! The option to add similar songs to a playlist is great but you have RUINED the shuffle button. It is an absolute pain to deal with. Just let me have a regular shuffle button and you can add an extra button or setting to do your annoying smart shuffle nonsense. I'm BEGGING you to let me permanently disable it.,,,
20-Mar-24,Rated 2 stars out of five stars,"Please bring the timer feature when you're connected to a different device (ex: Chromecast, Google devices as speaker.) Also lyrics on the same day a song drops. Please add a ""thumbs down"" feature. Especially to build a better DJ. The AI needs a lot of fixing. Repeat should NOT be a default feature that's on either.",,,
20-Mar-24,Rated 1 stars out of five stars,"Earlier it was a good music app but now it's becoming worse - previous button, skip to any part, repeat song option and play in any order all these features are in premium now. Like seriously 🙄 😒 WHY😡 . Basically all the features are going in premium. Not even lyrics are present. And now you can't even listen to your own playlist peacefully. You will be interrupted by songs or music which are not in your playlist",,,
20-Mar-24,Rated 3 stars out of five stars,"I'm lowering my rating of Spotify unfortunately as the recent rounds of updates are making it harder and harder to efficiently use and find new music. The bottomless scroll approach probably serves spotify's goals better than the users. My daily mix playlists used to appear on the home screen, but now they are buried three menu layers down in favor of the bottomless scroll. I would love to see them come back and give me the ability to disable the endless scroll.",,,
20-Mar-24,Rated 1 stars out of five stars,"Yes, too many times and too often. The new features instead of being something that enhance the app from the others are becoming a useless annoyance and detrimental for the efficiency of the app, turn back and make it stable, the rest dj, ai, divination and so on are b.s. Efficiency first, then what ever you want but if it make it unusable TURNBACK.",,,
20-Mar-24,Rated 2 stars out of five stars,"I HATE THE SMART SHUFFLE. Please take it off or at least have a button so we can disable it! It turns itself on!!! I have a playlist I NEVER turn on shuffle for and the app always turns on smart shuffle in the middle of it! Or if I turn off regular shuffle, then turn off smart shuffle so it plays the next song, it'll turn the smart shuffle back on after 1 or 2 songs. I'm so mad. It pisses me off. Take it away!!!!",,,
20-Mar-24,Rated 1 stars out of five stars,"After getting tired of sitting through 5 ads every two songs, I decided to try one of the premium free trials. Problem is that as soon as my account was given premium abilities, it was essentially non functional. Editing playlists is a nightmare, with the app crashing if you try to add more than 3 songs to a playlist in a row. With spotify its either excessive ads without basic features or pay $10/month for a nonfunctional app.",,,
20-Mar-24,Rated 4 stars out of five stars,"Mostly does what I want. Nice multi device features, usually works well, though occasional issues with syncing and queue state. Good quality sound. Some frustrations with the UI like limited multi selection support and the institute to go to previous song. But it's clear the service is being maintained and improvements are rolled out occasionally.",,,
20-Mar-24,Rated 3 stars out of five stars,"I enjoy the app for the most part. But recently, they have added different channels to my to my home page that will just start playing. I don't want to listen to their trash music, and I do not like the fact I can not delete this off of my stuff, and it just starts playing after podcast or my music stops.",,,
20-Mar-24,Rated 1 stars out of five stars,"Has become unusable! I download files because I'm often in areas without signal. However, I'm quite often finding menus won't open & files start won't playing unless you are online. Then you give it an online connection & it says ""No internet connection"" at the bottom. Well, every other app is managing just fine! I've repeatedly closed & reopened the app, turned my phone off & on, wiped the cache, uninstalled & reinstalled. Nothing fixes the problem for long. Unsubscribed & uninstalled!",,,
20-Mar-24,Rated 2 stars out of five stars,"for one of the top streaming apps, youd think that it would be better. the app CONSTANTLY plays ads when during the ads it says ""30 mins of ad free music"" but the premium page says 15? and when it does play an ad, the ad always pauses and its so incredibly difficult to get to play music because during that time the ad is paused no music plays. and with all the money spotify makes, youd think that you could get premium treats for free. plus, most of the time jo music in looking for has it. 2/5★s.",,,
20-Mar-24,Rated 3 stars out of five stars,"I like the algorithms and a search. Gigantic music library in my pocket. But there are tonnes of problems and issues with the app. Everything everywhere, i do not like the odrer of tabs, functions, and buttons. Unfortunately, the small player and player window actually does not have a swipe gesture, which allows me to open and close the player with SWIPE, not with touch.. Audio quality. Spotify does have a really big library, but the sound quality is very disappointing. 320 kbps in 2024, really?",,,
20-Mar-24,Rated 4 stars out of five stars,"I have been using spotify for many years now and, while I do love it, if there's one thing that I think needs some work, it's the shuffle feature. I have almost a thousand songs at any given time in my ""liked songs"" and if I shuffle it should be a lot more random, but a lot of times I hear the same handful of songs over and over. I have to hunt for ones that I haven't heard in a long time and play them, only for it to switch back to playing the ones I hear frequently when that one finishes.",,,
20-Mar-24,Rated 3 stars out of five stars,"I have been using Spotify for almost a year and don't get me wrong it's a great app but I have something to say. I have Spotify on my tablet and on a phone. When I use Spotify on my tablet It works fine. It allows me to pick any song I want, play an ad, and lets me listen. ON THE PHONE THOUGH- I pick a song, sometimes it might play an ad, BUT.IT.NEVER.PLAYS.THE.SONG.I.REQUESTED! I try listening to the song as a single song or whatever, AND IT STILL DOESN'T PLAY THE SONG I WANT. Pls fix this😭",,,
20-Mar-24,Rated 3 stars out of five stars,"Premium member here. The core of the app is great. Love that there's a feature that allows you to transition songs earlier. Love the community features like blend, jams, seeing what your friends are listening to, year in review, etc. Overall they've come a long way. But as far as spotflify generated Playlists, pandora is still very much superior. Pandora generates based on vibe. Spotify generates based on genre and popularity. And the app regressions are too often and bad to just ignore.",,,
20-Mar-24,Rated 3 stars out of five stars,"Ive never had problems with spotify, it was always consistent when it came to literally just playing music. NOW, it takes 1-3 seconds to play a song after tapping it, which might not seem like much but over time it adds up to the point where its a nuisance. Its a great app, always been my go-to, but if a simple thing such as playing music starts lagging behind, its not acceptable",,,
20-Mar-24,Rated 2 stars out of five stars,"I couldn't listen to downloaded music when on a 5 hour airplane ride today while I was in airplane mode with no way of resolving this issue. I restarted the phone, force stopped the app, etc and nothing worked. Unacceptable for a pay for service. FIX THIS BUG!! What is the point of downloading music for offline use if the app won't even play downloaded songs? Kept saying ""currently in offline mode"" but wouldn't play anything.",,,
20-Mar-24,Rated 4 stars out of five stars,"My phone was doing the thing everyone else, it was taking forever to load into the app and playlists. If I pressed the play button on a playlist the button would unpaid but never play music and when music did play it stopped every 5 seconds. Something I have an issue with is if I play a playlist of my episodes after 1 or 2 of them, it plays those random horrible songs out of nowhere. Sometimes the app says it's offline when it really isn't. A tip for ads is too close the app and open it again.",,,
20-Mar-24,Rated 4 stars out of five stars,"Improve how the Queue List functions please. E.g.: 1. New placement of ""Recently Played"" tab isn't convenient when dragging songs into queue list. 2. I can't go back to prev song without losing my list. Queue history would be nice. 3. An option to ""play next"" in addition to ""add to queue"" would be great! Thanks.",,,
